authors,title,source,type,abstract,times_cited,PY,VL,IS,BP,EP
"Bonneaud, C; Mazuc, J; Gonzalez, G; Haussy, C; Chastel, O; Faivre, B; Sorci, G",Assessing the cost of mounting an immune response,AMERICAN NATURALIST,Article,"The evolution of parasite resistance has often been assumed to be governed by antagonistic selection pressures. Defense against pathogens, by mounting an immune response, confers evident benefits but may also incur costs, so that the optimal level of defense is expected to depend on the balance between benefits and costs. Although the benefits of immune surveillance are well known, estimates of costs are still equivocal. Here we studied the behavioral and physiological modifications associated with exposure to a non-replicating antigen (lipopolysaccharide [LPS] of Escherichia coli) in a passerine species, the house sparrow (Passer domesticus). We further investigated whether the behavioral and physiological changes provoked by LPS induced measurable repercussions on life-history traits, such as the breeding effort and reproductive success. Finally, we tested whether the trade-off between immune activation and breeding effort was modulated by the workload required to feed the brood. Exposure to LPS reduced activity and increased body mass loss of captive individuals; similarly, LPS injection induced a dramatic drop in feeding rate and reproductive success of breeding females. However, this reduction depended on brood size, suggesting that the strength of the trade-off between immune activation and reproduction was affected by the workload required to feed the brood. Overall, this study stresses the magnitude of costs associated with mounting immune responses and the ecological and evolutionary consequences for natural populations.",252,2003,161,3,367,379
"Portner, HO",Ecosystem effects of ocean acidification in times of ocean warming: a physiologist's view,MARINE ECOLOGY PROGRESS SERIES,Article,"Ocean warming and acidification occur at global scales and, in the case of temperature, have already caused shifts in marine ecosystem composition and function. In the case of CO2-induced ocean hypercapnia and acidification, however, effects may still be so small that evidence for changes in the field is largely lacking, Future scenarios indicate that marine life forms are threatened by the specific or synergistic effects of factors involved in these processes. The present paper builds on the view that development of a cause and effect understanding is required beyond empirical observations, for a more accurate projection of ecosystem effects and for quantitative scenarios. Identification of the mechanisms through which temperature- and CO2-related ocean physicochemistry affect organism fitness, survival and success, is crucial with this research strategy. I suggest operation of unifying physiological principles, not only of temperature but also CO2 effects, across animal groups and phyla. Thermal windows of optimized performance emerge as a basic character defining species fitness and survival, including their capacity to interact with other species. Through effects on performance at the level of reproduction, behaviour and growth, ocean acidification acts especially on lower marine invertebrates, which are characterized by a low capacity to compensate for disturbances in extracellular ion and acid-base status and sensitivity of metabolism to such disturbances. Available data suggest that one key consequence of these features is a narrowing of thermal tolerance windows, as well as a reduced scope for performance at ecosystem level. These changes in bioenvelopes may have major implications for the ranges of geographical distribution of these organisms and in species interactions.",247,2008,373,,203,217
"Didham, RK; Tylianakis, JM; Gemmell, NJ; Rand, TA; Ewers, RM",Interactive effects of habitat modification and species invasion on native species decline,TRENDS IN ECOLOGY & EVOLUTION,Review,"Different components of global environmental change are often studied and managed independently, but mounting evidence points towards complex non-additive interaction effects between drivers of native species decline. Using the example of interactions between land-use change and biotic exchange, we develop an interpretive framework that will enable global change researchers to identify and discriminate between major interaction pathways. We formalise a distinction between numerically mediated versus functionally moderated causal pathways. Despite superficial similarity of their effects, numerical and functional pathways stem from fundamentally different mechanisms of action and have fundamentally different consequences for conservation management. Our framework is a first step toward building a better quantitative understanding of how interactions between drivers might mitigate or exacerbate the net effects of global environmental change on biotic communities in the future.",243,2007,22,9,489,496
"POUNDS, JA; CRUMP, ML",AMPHIBIAN DECLINES AND CLIMATE DISTURBANCE - THE CASE OF THE GOLDEN TOAD AND THE HARLEQUIN FROG,CONSERVATION BIOLOGY,Article,"The endemic golden toad (Bufo periglenes) was abundant in Costa Rica's Monteverde Cloud Forest Preserve in April-May 1987 but afterwards disappeared, along with local populations of the harlequin frog (Atelopus varius). We examine the possible relationship between these sudden declines and unusually warm, dry conditions in 1987 For our analyses of local weather patterns, we define a 12-month (July-June) amphibian moisture-temperature cycle consisting of four periods: (1) late wet season; (2) transition into dry season; (3) dry season; and (4) post-dry-season (early-wet-season) recovery. The 1986-1987 cycle was the only one on record (of 20 analyzed) with abnormally low rainfall in all four periods, and temperature anomalies in 1987 reached record highs. Flow in local aquifer-fed streams during the dry season and post-dry-season recovery period reached a record low. This climate disturbance, associated with the 1986-1987 El Nino/Southern Oscillation, was more severe than a similar event associated with the 1982-1983 El Nino, though this earlier oscillation was the strongest of the past century. Demographic data for one harlequin frog population, gathered during these two climatic events, support the hypothesis that in 1987, shortly before the population collapsed, the frogs underwent an unprecedented shift in distribution within the habitat in response to desiccating conditions. The juxtaposition of these rare demographic events suggests they were causally linked yet sheds little light on mechanisms underlying the sudden decline. While desiccation or direct temperature effects may have been factors leading to high adult mortality, moisture-temperature conditions may have interacted with some other, unidentified agent. We discuss two hypotheses concerning possible synergistic effects. In the climate-linked epidemic hypothesis, microparasites are the additional agent In the climate-linked contaminant pulse hypothesis, atmospheric contaminants scavenged by mist and cloud water in montane areas reach critical concentrations when conditions are abnormally warm and dry.",235,1994,8,1,72,85
"Ducrest, AL; Keller, L; Roulin, A","Pleiotropy in the melanocortin system, coloration and behavioural syndromes",TRENDS IN ECOLOGY & EVOLUTION,Review,"In vertebrates, melanin-based coloration is often associated with variation in physiological and behavioural traits. We propose that this association stems from pleiotropic effects of the genes regulating the synthesis of brown to black eumelanin. The most important regulators are the melanocortin 1 receptor and its ligands, the melanocortin agonists and the agouti-signalling protein antagonist. On the basis of the physiological and behavioural functions of the melanocortins, we predict five categories of traits correlated with melanin-based coloration. A review of the literature indeed reveals that, as predicted, darker wild vertebrates are more aggressive, sexually active and resistant to stress than lighter individuals. Pleiotropic effects of the melanocortins might thus account for the widespread covariance between melanin-based coloration and other phenotypic traits in vertebrates.",229,2008,23,9,502,510
"Hooper, DU",The role of complementarity and competition in ecosystem responses to variation in plant diversity,ECOLOGY,Article,"To investigate how plant diversity affects ecosystem-level processes such as primary production and nutrient cycling, I established an experimental plant diversity gradient in serpentine grassland using four functional groups of plants: early season annual forbs (E), late season annual forbs (L), perennial bunchgrasses (P), and nitrogen fixers (N). These groups differ in growth form, phenology, and other traits relevant to nutrient cycling (e.g., rooting depth, litter C:N ratio). Two or three species of each type were planted in single-group treatments, and in two-, three-, and four-way combinations, giving a range of richness from zero to nine species. I tested the hypothesis that, because of complementary resource use, increasing functional group diversity will lead to higher net primary production. At the scale of this experiment (alpha-diversity and yearly production), more diverse treatments were not necessarily the most productive. Live plant biomass varied more within than among levels of diversity. In most two-, three-, and four-way mixtures of functional groups, overall productivity did not differ significantly from the average of the yields of component one-group treatments. This pattern apparently resulted from competition: early season annuals and late season annuals reduced the biomass of perennial bunchgrasses (the most productive group in monoculture) below levels expected from monoculture yields. Relative Yield Totals (RYT) indicated complementary resource use in the EL and LP two-way and ELPN four-way mixtures. In the EL mixture, complementarity appeared to result from temporal rather than spatial partitioning of resources. Because of shifts in root:shoot ratio in mixtures, however, only the LP treatment had consistently significant RYT >1 when assessing total (roots plus shoots) productivity and nitrogen yield. These results show that (1) composition (the identity of the species present) can be at least as important as richness (the number of species present) in effects on ecosystem processes; (2) competition during critical parts of the growing season may prevent absolute increases in net primary production with increasing diversity, despite complementary resource use at other times of the year; and (3) shifts in belowground allocation in species mixtures can have significant effects on estimates of productivity and resource use as species diversity changes.",224,1998,79,2,704,719
"Vinebrooke, RD; Cottingham, KL; Norberg, J; Scheffer, M; Dodson, SI; Maberly, SC; Sommer, U",Impacts of multiple stressors on biodiversity and ecosystem functioning: the role of species co-tolerance,OIKOS,Article,"Ecosystem resistance to a single stressor relies on tolerant species that can compensate for sensitive competitors and maintain ecosystem processes, such as primary production. We hypothesize that resistance to additional stressors depends increasingly on species tolerances being positively correlated (i.e. positive species co-tolerance). Initial exposure to a stressor combined with positive species co-tolerance should reduce the impacts of other stressors, which we term stress-induced community tolerance. In contrast, negative species co-tolerance is expected to result in additional stressors having pronounced additive or synergistic impacts on biologically impoverished functional groups, which we term stress-induced community sensitivity. Therefore, the sign and strength of the correlation between species sensitivities to multiple stressors must be considered when predicting the impacts of global change on ecosystem functioning as mediated by changes in biodiversity.",204,2004,104,3,451,457
"Thuiller, W; Araujo, MB; Lavorel, S",Do we need land-cover data to model species distributions in Europe?,JOURNAL OF BIOGEOGRAPHY,Article,"Aim To assess the influence of land cover and climate on species distributions across Europe. To quantify the importance of land cover to describe and predict species distributions after using climate as the main driver. Location The study area is Europe. Methods (1) A multivariate analysis was applied to describe land-cover distribution across Europe and assess if the land cover is determined by climate at large spatial scales. (2) To evaluate the importance of land cover to predict species distributions, we implemented a spatially explicit iterative procedure to predict species distributions of plants (2603 species), mammals (186 species), breeding birds (440 species), amphibian and reptiles (143 species). First, we ran bioclimatic models using stepwise generalized additive models using bioclimatic variables. Secondly, we carried out a regression of land cover (LC) variables against residuals from the bioclimatic models to select the most relevant LC variables. Finally, we produced mixed models including climatic variables and those LC variables selected as decreasing the residual of bioclimatic models. Then we compared the explanatory and predictive power of the pure bioclimatic against the mixed model. Results (1) At the European coarse resolution, land cover is mainly driven by climate. Two bioclimatic axes representing a gradient of temperature and a gradient of precipitation explained most variation of land-cover distribution. (2) The inclusion of land cover improved significantly the explanatory power of bioclimatic models and the most relevant variables across groups were those not explained or poorly explained by climate. However, the predictive power of bioclimatic model was not improved by the inclusion of LC variables in the iterative model selection process. Main conclusion Climate is the major driver of both species and land-cover distributions over Europe. Yet, LC variables that are not explained or weakly associated with climate (inland water, sea or arable land) are interesting to describe particular mammal, bird and tree distributions. However, the addition of LC variables to pure bioclimatic models does not improve their predictive accuracy.",189,2004,31,3,353,361
"Darling, ES; Cote, IM",Quantifying the evidence for ecological synergies,ECOLOGY LETTERS,Letter,"There is increasing concern that multiple drivers of ecological change will interact synergistically to accelerate biodiversity loss. However, the prevalence and magnitude of these interactions remain one of the largest uncertainties in projections of future ecological change. We address this uncertainty by performing a meta-analysis of 112 published factorial experiments that evaluated the impacts of multiple stressors on animal mortality in freshwater, marine and terrestrial communities. We found that, on average, mortalities from the combined action of two stressors were not synergistic and this result was consistent across studies investigating different stressors, study organisms and life-history stages. Furthermore, only one-third of relevant experiments displayed truly synergistic effects, which does not support the prevailing ecological paradigm that synergies are rampant. However, in more than three-quarters of relevant experiments, the outcome of multiple stressor interactions was non-additive (i.e. synergies or antagonisms), suggesting that ecological surprises may be more common than simple additive effects.",184,2008,11,12,1278,1286
"Bijlsma, R; Bundgaard, J; Boerema, AC",Does inbreeding affect the extinction risk of small populations? predictions from Drosophila,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,"A fundamental assumption underlying the importance of genetic risks within conservation biology is that inbreeding increases the extinction probability of populations. Although inbreeding has been shown to have a detrimental impact on individual fitness, its contribution to extinction is still poorly understood. We have studied the consequences of different levels of prior inbreeding for the persistence of small populations using Drosophila melanogaster as a model organism. To this end, we determined the extinction rate of small vial populations differing in the level of inbreeding under both optimal and stress conditions, i.e. high temperature stress and ethanol stress. We show that inbred populations have a significantly higher short-term probability of extinction than non-inbred populations, even for low levels of inbreeding, and that the extinction probability increases with increasing inbreeding levels. In addition, we observed that the effects of inbreeding become greatly enhanced under stressful environmental conditions. More importantly, our results show that the impact of environmental stress becomes significantly greater for higher inbreeding levels, demonstrating explicitly that inbreeding and environmental stress are not independent but can act synergistically. These effects seem long lasting as the impact of prior inbreeding was still qualitatively the same after the inbred populations had been expanded to appreciable numbers and maintained as such for approximately 50 generations. Our observations have significant consequences for conservation biology.",176,2000,13,3,502,514
"Oksanen, J; Minchin, PR",Continuum theory revisited: what shape are species responses along ecological gradients?,ECOLOGICAL MODELLING,Article,"The shape of species' responses along ecological gradients has important implications for both continuum theory and community analysis. Most current theories and analytical models in community ecology assume that responses are unimodal and symmetric. However, interactions between species and extreme environmental stress may cause skewed or non-unimodal responses. To date, statistical tools for evaluating response shapes have been either inappropriate, inefficient or biased. Using a data set on vascular plant distributions along an elevation gradient, we show that Huisman-Olff-Fresco (HOF) models are an effective method for this purpose, allowing models of various forms (skewed, symmetric, plateau, monotonic) to be tested for adequacy. HOF modeling was compared with alternative methods for response fitting, including Gaussian responses as Generalized linear model (GLMs), Generalized Additive Models (GAM) and Beta Functions with fixed or estimated endpoints. In our data set, skewed and plateau responses are less common than symmetric ones. Less than half of the species have skewed or plateau responses that can not be adequately modeled by Gaussian models. We show that Beta function models with fixed endpoints are biased, confounding skewness and the location of the mode and should not be used to test response shapes. Beta models with estimated endpoints are fairly consistent with other models. GAM's cannot provide clear tests of skewness or kurtosis of response curves, though we show that GAM's, in general, confirmed the shapes chosen by HOF modeling. We provide free software for fitting HOF models and encourage further applications to community data collected along different types of ecological gradients. (C) 2002 Elsevier Science B.V. All rights reserved.",174,2002,157,03-Feb,119,129
"Randin, CF; Engler, R; Normand, S; Zappa, M; Zimmermann, NE; Pearman, PB; Vittoz, P; Thuiller, W; Guisan, A",Climate change and plant distribution: local models predict high-elevation persistence,GLOBAL CHANGE BIOLOGY,Article,"Mountain ecosystems will likely be affected by global warming during the 21st century, with substantial biodiversity loss predicted by species distribution models (SDMs). Depending on the geographic extent, elevation range, and spatial resolution of data used in making these models, different rates of habitat loss have been predicted, with associated risk of species extinction. Few coordinated across-scale comparisons have been made using data of different resolutions and geographic extents. Here, we assess whether climate change-induced habitat losses predicted at the European scale (10 x 10' grid cells) are also predicted from local-scale data and modeling (25 m x 25 m grid cells) in two regions of the Swiss Alps. We show that local-scale models predict persistence of suitable habitats in up to 100% of species that were predicted by a European-scale model to lose all their suitable habitats in the area. Proportion of habitat loss depends on climate change scenario and study area. We find good agreement between the mismatch in predictions between scales and the fine-grain elevation range within 10 x 10' cells. The greatest prediction discrepancy for alpine species occurs in the area with the largest nival zone. Our results suggest elevation range as the main driver for the observed prediction discrepancies. Local-scale projections may better reflect the possibility for species to track their climatic requirement toward higher elevations.",172,2009,15,6,1557,1569
"CAMPBELL, BD; GRIME, JP",AN EXPERIMENTAL TEST OF PLANT STRATEGY THEORY,ECOLOGY,Article,"Two of the central hypotheses of the triangular model of primary plant strategies were tested by a novel technique involving seven grasses of contrasted ecology grown in pure stands and an additive mixture on an experimental matrix of crossed gradients of mineral nutrient stress and vegetation disturbance. The experimental design allowed reductions in vegetative and reproductive vigor resulting from interspecific competition to be distinguished from those arising from direct effects of nutrient stress and vegetation disturbance. It was also possible to determine the extent to which competitive suppression of each species was affected by stress and disturbance. In isolation, all species showed maximum vegetative and reproductive vigor at high soil fertility and low disturbance. In the mixture, absolute reductions in biomass and flowering due to competition were greatest at high soil fertility and low disturbance, and the species of most extreme strategy became restricted to areas of the matrix broadly consistent with those predicted by strategy classification. When standardized for differences in biomass in pure stands, the effect of competition remained relatively constant across the stress-disturbance matrix for all species except Poa annua, which was less restricted by competition at high intensities of stress. There were marked and consistent differences between species in their susceptibility to competition. At both high and low soil fertility, two species of natural occurrence on infertile soils (Festuca ovina, Bromus erectus) were poor competitors relative to Arrhenatherum elatius, a widespread dominant of productive grasslands. The effect of competition was least severe on flowering of annuals in low-stress portions of the matrix. If competition is assessed simply as the percentage of reduction in biomass between pure and mixed stands it appears that competition intensity is constant across different intensities of stress and disturbance. However, observations that maximum reductions in biomass coincided with low stress and low disturbance, that competition decreased in importance as a factor reducing yield and flowering (relative to stress and disturbance) as stress and disturbance intensities increased, and that there was a consistently inferior competitive ability of plants from infertile soils at all positions on the matrix all support the hypothesis that competition declines in importance as a vegetation determinant in the vegetation of infertile soils.",169,1992,73,1,15,29
"Relyea, R; Hoverman, J",Assessing the ecology in ecotoxicology: a review and synthesis in freshwater systems,ECOLOGY LETTERS,Review,"The field of ecotoxicology is experiencing a surge in attention among ecologists as we gain a deeper appreciation for how contaminants can impact natural ecosystems. This interest is particularly strong in aquatic systems where many non-target organisms experience pesticides. In this article, we assess how pesticides affect freshwater systems by applying the conceptual framework of density- and trait-mediated indirect effects from the field of basic ecology. We demonstrate the utility of this framework for understanding the conditions under which pesticides affect species interactions, communities and ecosystems. Through the integration of laboratory toxicity tests and this ecological framework, ecotoxicologists should be better able to identify the mechanisms through which pesticides affect communities and ecosystems. We also identify several areas of research that are in critical need of empirical attention including synergistic effects between pesticides and natural stressors, the importance of pesticides on community assembly via habitat preferences and oviposition effects, the timing and frequency of pesticide applications, pesticide effects on population dynamics, the evolution of pesticide resistance in non-target organisms and ecosystem recovery. With this knowledge, one can improve upon management decisions and help protect non-target species that are of conservation concern.",168,2006,9,10,1157,1171
"Giller, PS; Hillebrand, H; Berninger, UG; Gessner, MO; Hawkins, S; Inchausti, P; Inglis, C; Leslie, H; Malmqvist, B; Monaghan, MT; Morin, PJ; O'Mullan, G",Biodiversity effects on ecosystem functioning: emerging issues and their experimental test in aquatic environments,OIKOS,Article,"Recent experiments, mainly in terrestrial environments, have provided evidence of the functional importance of biodiversity to ecosystem processes and properties. Compared to terrestrial systems, aquatic ecosystems are characterised by greater propagule and material exchange, often steeper physical and chemical gradients, more rapid biological processes and, in marine systems, higher metazoan phylogenetic diversity. These characteristics limit the potential to transfer conclusions derived from terrestrial experiments to aquatic ecosystems whilst at the same time provide opportunities for testing the general validity of hypotheses about effects of biodiversity on ecosystem functioning. Here, we focus on a number of unique features of aquatic experimental systems, propose an expansion to the scope of diversity facets to be considered when assessing the functional consequences of changes in biodiversity and outline a hierarchical classification scheme of ecosystem functions and their corresponding response variables. We then briefly highlight some recent controversial and newly emerging issues relating to biodiversity-ecosystem functioning relationships. Based on lessons learnt from previous experimental and theoretical work, we finally present four novel experimental designs to address largely unresolved questions about biodiversity-ecosystem functioning relationships. These include (1) investigating the effects of non-random species loss through the manipulation of the order and magnitude of such loss using dilution experiments; (2) combining factorial manipulation of diversity in interconnected habitat patches to test the additivity of ecosystem functioning between habitats; (3) disentangling the impact of local processes from the effect of ecosystem openness via factorial manipulation of the rate of recruitment and biodiversity within patches and within an available propagule pool; and (4) addressing how non-random species extinction following sequential exposure to different stressors may affect ecosystem functioning. Implementing these kinds of experimental designs in a variety of systems will, we believe, shift the focus of investigations from a species richness-centred approach to a broader consideration of the multifarious aspects of biodiversity that may well be critical to understanding effects of biodiversity changes on overall ecosystem functioning and to identifying some of the potential underlying mechanisms involved.",165,2004,104,3,423,436
"Folke, C; Holling, CS; Perrings, C","Biological diversity, ecosystems, and the human scale",ECOLOGICAL APPLICATIONS,Article,"This paper considers the significance of biological diversity in relation to large-scale processes in complex and dynamic ecological-economic systems. It focuses on functional diversity, and its relation to production and maintenance of ecological services that underpin human societies. Within functional groups of organisms two important categories of species are identified: keystone process species and those essential for ecosystem resilience. The latter group represents ''natural insurance capital.'' In addition to basic research on the interplay among biological diversity, functional performance, and resilience in complex self-organizing systems, we suggest that a functional approach has two main implications for a strategy for biodiversity conservation: (1) Biodiversity conservation to assure the resilience of ecosystems is required for all systems, no matter how heavily impacted they are. It should not be limited to protected areas. (2) The social, cultural, and economic driving forces in society that cause biodiversity loss need to be addressed directly. Specifically, (a) differences between the value of biological diversity to the private individual and its fundamental value to society as a whole need to be removed; (b) social and economic policies that encourage biodiversity loss should be reformed, especially where there is a risk of irreversible damage to ecosystems and diversity; and (c) institutions that are adaptive and work in synergy with ecosystem processes and functions are critical and should be created at all levels.",162,1996,6,4,1018,1024
