"authors","title","journal","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Vinebrooke, RD; Cottingham, KL; Norberg, J; Scheffer, M; Dodson, SI; Maberly, SC; Sommer, U","impacts of multiple stressors on biodiversity and ecosystem functioning: the role of species co-tolerance","oikos","Article","ecosystem resistance to a single stressor relies on tolerant species that can compensate for sensitive competitors and maintain ecosystem processes, such as primary production. we hypothesize that resistance to additional stressors depends increasingly on species tolerances being positively correlated (i.e. positive species co-tolerance). initial exposure to a stressor combined with positive species co-tolerance should reduce the impacts of other stressors, which we term stress-induced community tolerance. in contrast, negative species co-tolerance is expected to result in additional stressors having pronounced additive or synergistic impacts on biologically impoverished functional groups, which we term stress-induced community sensitivity. therefore, the sign and strength of the correlation between species sensitivities to multiple stressors must be considered when predicting the impacts of global change on ecosystem functioning as mediated by changes in biodiversity.",204,2004,104,"3","451","457",1,0,1,2
"Darling, ES; Cote, IM","quantifying the evidence for ecological synergies","ecology letters","Letter","there is increasing concern that multiple drivers of ecological change will interact synergistically to accelerate biodiversity loss. however, the prevalence and magnitude of these interactions remain one of the largest uncertainties in projections of future ecological change. we address this uncertainty by performing a meta-analysis of 112 published factorial experiments that evaluated the impacts of multiple stressors on animal mortality in freshwater, marine and terrestrial communities. we found that, on average, mortalities from the combined action of two stressors were not synergistic and this result was consistent across studies investigating different stressors, study organisms and life-history stages. furthermore, only one-third of relevant experiments displayed truly synergistic effects, which does not support the prevailing ecological paradigm that synergies are rampant. however, in more than three-quarters of relevant experiments, the outcome of multiple stressor interactions was non-additive (i.e. synergies or antagonisms), suggesting that ecological surprises may be more common than simple additive effects.",184,2008,11,"12","1278","1286",1,1,1,3
"Bijlsma, R; Bundgaard, J; Boerema, AC","does inbreeding affect the extinction risk of small populations? predictions from drosophila","journal of evolutionary biology","Article","a fundamental assumption underlying the importance of genetic risks within conservation biology is that inbreeding increases the extinction probability of populations. although inbreeding has been shown to have a detrimental impact on individual fitness, its contribution to extinction is still poorly understood. we have studied the consequences of different levels of prior inbreeding for the persistence of small populations using drosophila melanogaster as a model organism. to this end, we determined the extinction rate of small vial populations differing in the level of inbreeding under both optimal and stress conditions, i.e. high temperature stress and ethanol stress. we show that inbred populations have a significantly higher short-term probability of extinction than non-inbred populations, even for low levels of inbreeding, and that the extinction probability increases with increasing inbreeding levels. in addition, we observed that the effects of inbreeding become greatly enhanced under stressful environmental conditions. more importantly, our results show that the impact of environmental stress becomes significantly greater for higher inbreeding levels, demonstrating explicitly that inbreeding and environmental stress are not independent but can act synergistically. these effects seem long lasting as the impact of prior inbreeding was still qualitatively the same after the inbred populations had been expanded to appreciable numbers and maintained as such for approximately 50 generations. our observations have significant consequences for conservation biology.",176,2000,13,"3","502","514",1,0,0,1
"Relyea, R; Hoverman, J","assessing the ecology in ecotoxicology: a review and synthesis in freshwater systems","ecology letters","Review","the field of ecotoxicology is experiencing a surge in attention among ecologists as we gain a deeper appreciation for how contaminants can impact natural ecosystems. this interest is particularly strong in aquatic systems where many non-target organisms experience pesticides. in this article, we assess how pesticides affect freshwater systems by applying the conceptual framework of density- and trait-mediated indirect effects from the field of basic ecology. we demonstrate the utility of this framework for understanding the conditions under which pesticides affect species interactions, communities and ecosystems. through the integration of laboratory toxicity tests and this ecological framework, ecotoxicologists should be better able to identify the mechanisms through which pesticides affect communities and ecosystems. we also identify several areas of research that are in critical need of empirical attention including synergistic effects between pesticides and natural stressors, the importance of pesticides on community assembly via habitat preferences and oviposition effects, the timing and frequency of pesticide applications, pesticide effects on population dynamics, the evolution of pesticide resistance in non-target organisms and ecosystem recovery. with this knowledge, one can improve upon management decisions and help protect non-target species that are of conservation concern.",168,2006,9,"10","1157","1171",1,0,0,1
"Folke, C; Holling, CS; Perrings, C","biological diversity, ecosystems, and the human scale","ecological applications","Article","this paper considers the significance of biological diversity in relation to large-scale processes in complex and dynamic ecological-economic systems. it focuses on functional diversity, and its relation to production and maintenance of ecological services that underpin human societies. within functional groups of organisms two important categories of species are identified: keystone process species and those essential for ecosystem resilience. the latter group represents ''natural insurance capital.'' in addition to basic research on the interplay among biological diversity, functional performance, and resilience in complex self-organizing systems, we suggest that a functional approach has two main implications for a strategy for biodiversity conservation: (1) biodiversity conservation to assure the resilience of ecosystems is required for all systems, no matter how heavily impacted they are. it should not be limited to protected areas. (2) the social, cultural, and economic driving forces in society that cause biodiversity loss need to be addressed directly. specifically, (a) differences between the value of biological diversity to the private individual and its fundamental value to society as a whole need to be removed; (b) social and economic policies that encourage biodiversity loss should be reformed, especially where there is a risk of irreversible damage to ecosystems and diversity; and (c) institutions that are adaptive and work in synergy with ecosystem processes and functions are critical and should be created at all levels.",162,1996,6,"4","1018","1024",1,0,0,1
"Laurance, WF","theory meets reality: how habitat fragmentation research has transcended island biogeographic theory","biological conservation","Review","island biogeography theory (ibt) provides a basic conceptual model for understanding habitat fragmentation. empirical studies of fragmented landscapes often reveal strong effects of fragment area and isolation on species richness, although other predictions of the theory, such as accelerated species turnover in fragments, have been tested less frequently. as predicted by ibt, biota in fragments typically 'relax' over time towards lower species richness. beyond these broad generalizations, however, the relevance of ibt for understanding fragmented ecosystems is limited. first, ibt provides few predictions about how community composition in fragments should change over time, and which species should be most vulnerable. second, edge effects can be an important driver of local species extinctions and ecosystem change, but are not considered by ibt. third, the matrix of modified vegetation surrounding fragments-also ignored by ibt-can strongly influence fragment connectivity, which in turn affects the demography, genetics, and survival of local populations. fourth, most fragmented landscapes are also altered by other anthropogenic changes, such as hunting, logging, fires, and pollution, which can interact synergistically with habitat fragmentation. finally, fragmentation often has diverse impacts on ecosystem properties such as canopy-gap dynamics, carbon storage, and the trophic structure of communities that are not considered by ibt. i highlight these phenomena with findings from fragmented ecosystems around the world. published by elsevier ltd.",155,2008,141,"7","1731","1744",1,0,0,1
"Lejeusne, C; Chevaldonne, P; Pergent-Martini, C; Boudouresque, CF; Perez, T","climate change effects on a miniature ocean: the highly diverse, highly impacted mediterranean sea","trends in ecology & evolution","Review","little doubt is left that climate change is underway, strongly affecting the earth's biodiversity. some of the greatest challenges ahead concern the marine realm, but it is unclear to what extent changes will affect marine ecosystems. the mediterranean sea could give us some of the answers. data recovered from its shores and depths have shown that sea temperatures are steadily increasing, extreme climatic events and related disease outbreaks are becoming more frequent, faunas are shifting, and invasive species are spreading. this miniature ocean can serve as a giant mesocosm of the world's oceans, with various sources of disturbances interacting synergistically and therefore providing an insight into a major unknown: how resilient are marine ecosystems, and how will their current functioning be modified?",154,2010,25,"4","250","260",1,0,0,1
"Ricciardi, A","are modern biological invasions an unprecedented form of global change?","conservation biology","Article","the uniqueness of the current, global mass invasion by nonindigenous species has been challenged recently by researchers who argue that modem rates and consequences of nonindigenous species establishment are comparable to episodes in the geological past. although there is a fossil record of species invasions occurring in waves after geographic barriers had been lifted, such episodic events differ markedly from human-assisted invasions in spatial and temporal scales and in the number and diversity of organisms involved in long-distance dispersal. today, every region of the planet is simultaneously affected and modern rates of invasion are several orders of magnitude higher than prehistoric rates. in terms of its rate and geographical extent, its potential for synergistic disruption and the scope of its evolutionary consequences, the current mass invasion event is without precedent and should be regarded as a unique form of global change. prehistoric examples of biotic interchanges are nonetheless instructive and can increase our understanding of species-area effects, evolutionary effects, biotic resistance to invasion, and the impacts of novel functional groups introduced to naive biotas. nevertheless, they provide only limited insight into the synergistic effects of invasions and other environmental stressors, the effect of frequent introductions of large numbers of propagules, and global homogenization, all of which characterize the current mass invasion event.",152,2007,21,"2","329","336",1,0,0,1
"CAREY, C","hypothesis concerning the causes of the disappearance of boreal toads from the mountains of colorado","conservation biology","Article","recent reports of world-wide declines and extinctions of amphibian populations have raised questions about the relation of environmental change to the demise of certain amphibian species. between 1974 and 1982, 11 populations of boreal toads (bufo boreas boreas) in the west elk mountains of colorado totally disappeared. the apparent cause of extinction of these toads was infection with the bacteria aeromonas hydrophila. in this paper, the presence of disease in declining populations of these toads is used in conjunction with a variety of data from the literature to formulate a working hypothesis for explaining the cause of the decline of this species, and perhaps others: (1) some environmental factor or synergistic effects of more than one factor changes sufficiently to cause sublethal ''stress'', (2) this stress directly causes suppression of the immune system, or indirectly causes immunosuppression by effecting elevated secretion of adrenal cortical hormones; (3) immunosuppression, coupled with the apparent effect of cold body temperatures on the ability of immune systems of ectothermic animals to fight disease, leads to infection by aeromonas or other infectious agents, and to subsequent death of individuals and extinction of populations.",146,1993,7,"2","355","362",1,0,0,1
"Laurance, WF; Camargo, JLC; Luizao, RCC; Laurance, SG; Pimm, SL; Bruna, EM; Stouffer, PC; Williamson, GB; Benitez-Malvido, J; Vasconcelos, HL; Van Houtan, KS; Zartman, CE; Boyle, SA; Didham, RK; Andrade, A; Lovejoy, TE","the fate of amazonian forest fragments: a 32-year investigation","biological conservation","Review","we synthesize findings to date from the world's largest and longest-running experimental study of habitat fragmentation, located in central amazonia. over the past 32 years, amazonian forest fragments ranging from 1 to 100 ha have experienced a wide array of ecological changes. edge effects have been a dominant driver of fragment dynamics, strongly affecting forest microclimate, tree mortality, carbon storage, fauna, and other aspects of fragment ecology. however, edge-effect intensity varies markedly in space and time, and is influenced by factors such as edge age, the number of nearby edges, and the adjoining matrix of modified vegetation surrounding fragments. in our study area, the matrix has changed markedly over the course of the study (evolving from large cattle pastures to mosaics of abandoned pasture and regrowth forest) and this in turn has strongly influenced fragment dynamics and faunal persistence. rare weather events, especially windstorms and droughts, have further altered fragment ecology. in general, populations and communities of species in fragments are hyperdynamic relative to nearby intact forest. some edge and fragment-isolation effects have declined with a partial recovery of secondary forests around fragments, but other changes: such as altered patterns of tree recruitment, are ongoing. fragments are highly sensitive to external vicissitudes, and even small changes in local land-management practices may drive fragmented ecosystems in markedly different directions. the effects of fragmentation are likely to interact synergistically with other anthropogenic threats such as logging, hunting, and especially fire, creating an even greater peril for the amazonian biota. crown copyright (c) 2010 published by elsevier ltd. all rights reserved.",145,2011,144,"1","56","67",1,0,0,1
"Hofmann, GE; Barry, JP; Edmunds, PJ; Gates, RD; Hutchins, DA; Klinger, T; Sewell, MA","the effect of ocean acidification on calcifying organisms in marine ecosystems: an organism-to-ecosystem perspective","annual review of ecology evolution and systematics","Review; Book Chapter","ocean acidification (oa), a consequence of anthropogenic carbon dioxide emissions, poses a serious threat to marine organisms in tropical, open-ocean, coastal, deep-sea, and high-latitude sea ecosystems the diversity of taxonomic groups that precipitate calcium carbonate from seawater are at particularly high risk here we review the rapidly expanding literature concerning the biological and ecological impacts of oa on calcification, using a cross-scale, process-oriented approach in comparison to calcification, we find that areas such as fertilization, early life-history stages, and interaction with synergistic stressors are understudied although understanding the long-term consequences of oa are critical, available studies are largely short-term experiments that do not allow for tests of long-term acclimatization or adaptation future research on the phenotypic plasticity of contemporary organisms and interpretations of performance in the context of current environmental heterogeneity of pco(2) will greatly aid in our understanding of how organisms will respond to oa in the future",141,2010,41,"","127","147",1,0,0,1
"Reusch, TBH; Wood, TE","molecular ecology of global change","molecular ecology","Review","global environmental change is altering the selection regime for all biota. the key selective factors are altered mean, variance and seasonality of climatic variables and increase in co2 concentration itself. we review recent studies that document rapid evolution to global climate change at the phenotypic and genetic level, as a response to shifts in these factors. among the traits that have changed are photoperiod responses, stress tolerance and traits associated with enhanced dispersal. the genetic basis of two traits with a critical role under climate change, stress tolerance and photoperiod behaviour, is beginning to be understood for model organisms, providing a starting point for candidate gene approaches in targeted nonmodel species. most studies that have documented evolutionary change are correlative, while selection experiments that manipulate relevant variables are rare. the latter are particularly valuable for prediction because they provide insight into heritable change to simulated future conditions. an important gap is that experimental selection regimes have mostly been testing one variable at a time, while synergistic interactions are likely under global change. the expanding toolbox available to molecular ecologists holds great promise for identifying the genetic basis of many more traits relevant to fitness under global change. such knowledge, in turn, will significantly advance predictions on global change effects because presence and polymorphism of critical genes can be directly assessed. moreover, knowledge of the genetic architecture of trait correlations will provide the necessary framework for understanding limits to phenotypic evolution; in particular as lack of critical gene polymorphism or entire pathways, metabolic costs of tolerance and linkage or pleiotropy causing negative trait correlations. synergism among stressor impacts on organismal function may be causally related to conflict among transcriptomic syndromes specific to stressor types. because adaptation to changing environment is always contingent upon the spatial distribution of genetic variation, high-resolution estimates of gene flow and hybridization should be used to inform predictions of evolutionary rates.",138,2007,16,"19","3973","3992",1,0,0,1
"Harrison, XA; Blount, JD; Inger, R; Norris, DR; Bearhop, S","carry-over effects as drivers of fitness differences in animals","journal of animal ecology","Review","p>1. carry-over effects occur when processes in one season influence the success of an individual in the following season. this phenomenon has the potential to explain a large amount of variation in individual fitness, but so far has only been described in a limited number of species. this is largely due to difficulties associated with tracking individuals between periods of the annual cycle, but also because of a lack of research specifically designed to examine hypotheses related to carry-over effects. 2. we review the known mechanisms that drive carry-over effects, most notably macronutrient supply, and highlight the types of life histories and ecological situations where we would expect them to most often occur. we also identify a number of other potential mechanisms that require investigation, including micronutrients such as antioxidants. 3. we propose a series of experiments designed to estimate the relative contributions of extrinsic and intrinsic quality effects in the pre-breeding season, which in turn will allow an accurate estimation of the magnitude of carry-over effects. to date this has proven immensely difficult, and we hope that the experimental frameworks described here will stimulate new avenues of research vital to advancing our understanding of how carry-over effects can shape animal life histories. 4. we also explore the potential of state-dependent modelling as a tool for investigating carry-over effects, most notably for its ability to calculate optimal rates of acquisition of a multitude of resources over the course of the annual cycle, and also because it allows us to vary the strength of density-dependent relationships which can alter the magnitude of carry-over effects in either a synergistic or agonistic fashion. 5. in conclusion carry-over effects are likely to be far more widespread than currently indicated, and they are likely to be driven by a multitude of factors including both macro- and micronutrients. for this reason they could feasibly be responsible for a large amount of the observed variation in performance among individuals, and consequently warrant a wealth of new research designed specifically to decompose components of variation in fitness attributes related to processes across and within seasons.",137,2011,80,"1","4","18",1,0,0,1
"Clinchy, M; Zanette, L; Boonstra, R; Wingfield, JC; Smith, JNM","balancing food and predator pressure induces chronic stress in songbirds","proceedings of the royal society b-biological sciences","Article","the never-ending tension between finding food and avoiding predators may be the most universal natural stressor wild animals experience. the 'chronic stress' hypothesis predicts: (i) an animal's stress profile will be a simultaneous function of food and predator pressures given the aforesaid tension; and (ii) these inseparable effects on physiology will produce inseparable effects on demography because of the resulting adverse health effects. this hypothesis was originally proposed to explain synergistic (inseparable) food and predator effects on demography in snowshoe hares (lepus americanus). we conducted a 2 x 2, manipulative food addition plus natural predator reduction experiment on song sparrows (melospiza melodia) that was, to our knowledge, the first to demonstrate comparable synergistic effects in a bird: added food and lower predator pressure in combination produced an increase in annual reproductive success almost double that expected from an additive model. here we report the predicted simultaneous food and predator effects on measures of chronic stress in the context of the same experiment: birds at unfed, high predator pressure (hpp) sites had the highest stress levels; those at either unfed or hpp sites showed intermediate levels;- and fed birds at low predator pressure sites had the lowest stress levels.",126,2004,271,"1556","2473","2479",1,0,1,2
"Puigdefabregas, J; Mendizabal, T","perspectives on desertification: western mediterranean","journal of arid environments","Article; Proceedings Paper","in the western mediterranean desertification is triggered by climatic variability and demographic disequilibrium, both of which directly and indirectly affect water budgets and land degradation through associated changes in land use patterns. this paper gives a historical perspective by reviewing major findings in climate and land use changes in the area, including information from tree ring, palynological, sedimentological, archaeological and archive analysis, with special emphasis on the past 500 years. this paper discusses the synergies between these changes and their implications to the most vulnerable ecosystems, such as mountain and semiarid ecosystems, and compares current desertification processes in the area's north and south. in both cases rangelands and irrigated zones are the most affected land use systems. in the maghreb (algeria, morocco and tunisia), rangelands are being destroyed by overgrazing and agricultural encroachment. in northern countries rangelands are increasing at the expense of marginal agriculture. this paper discusses some controversial implications of rangeland vegetation recovery on fire and water regimes and reviews information on the steppes of stipa tenacissima, paying attention to changes and degradation patterns, irreversible thresholds and implications of their spatial structure. finally, this paper discusses western mediterranean irrigated lands as hot spots of desertification; their vulnerability to rainfall variability; the difficulties of relieving them from overexploitation of water resources; and their terminal symptoms, such as soil salinization, exhaustion and deterioration of aquifers, and damage to downstream fluvial and wetland systems. (c)1998 academic press limited.",125,1998,39,"2","209","224",1,0,0,1
"Williams, NM; Crone, EE; Roulston, TH; Minckley, RL; Packer, L; Potts, SG","ecological and life-history traits predict bee species responses to environmental disturbances","biological conservation","Article","the ability to predict the responses of ecological communities and individual species to human-induced environmental change remains a key issue for ecologists and conservation managers alike. responses are often variable among species within groups making general predictions difficult. one option is to include ecological trait information that might help to disentangle patterns of response and also provide greater understanding of how particular traits link whole clades to their environment. although this ""trait-guild"" approach has been used for single disturbances, the importance of particular traits on general responses to multiple disturbances has not been explored. we used a mixed model analysis of 19 data sets from throughout the world to test the effect of ecological and life-history traits on the responses of bee species to different types of anthropogenic environmental change. these changes included habitat loss, fragmentation, agricultural intensification, pesticides and fire. individual traits significantly affected bee species responses to different disturbances and several traits were broadly predictive among multiple disturbances. the location of nests - above vs. below ground - significantly affected response to habitat loss, agricultural intensification, tillage regime (within agriculture) and fire. species that nested above ground were on average more negatively affected by isolation from natural habitat and intensive agricultural land use than were species nesting below ground. in contrast below-ground-nesting species were more negatively affected by tilling than were above-ground nesters. the response of different nesting guilds to fire depended on the time since the burn. social bee species were more strongly affected by isolation from natural habitat and pesticides than were solitary bee species. surprisingly, body size did not consistently affect species responses, despite its importance in determining many aspects of individuals' interaction with their environment. although synergistic interactions among traits remain to be explored, individual traits can be useful in predicting and understanding responses of related species to global change. (c) 2010 elsevier ltd. all rights reserved.",119,2010,143,"10","2280","2291",1,0,0,1
"Dunn, RR; Harris, NC; Colwell, RK; Koh, LP; Sodhi, NS","the sixth mass coextinction: are most endangered species parasites and mutualists?","proceedings of the royal society b-biological sciences","Review","the effects of species declines and extinction on biotic interactions remain poorly understood. the loss of a species is expected to result in the loss of other species that depend on it (coextinction), leading to cascading effects across trophic levels. such effects are likely to be most severe in mutualistic and parasitic interactions. indeed, models suggest that coextinction may be the most common form of biodiversity loss. paradoxically, few historical or contemporary coextinction events have actually been recorded. we review the current knowledge of coextinction by: (i) considering plausible explanations for the discrepancy between predicted and observed coextinction rates; (ii) exploring the potential consequences of coextinctions; (iii) discussing the interactions and synergies between coextinction and other drivers of species loss, particularly climate change; and (iv) suggesting the way forward for understanding the phenomenon of coextinction, which may well be the most insidious threat to global biodiversity.",113,2009,276,"1670","3037","3045",1,0,0,1
