"authors","title","source","type","abstract","times_cited","PY","VL","IS","BP","EP","synergy","antag","additive","check"
"Ferreira, FS; Tabosa, AB; Gomes, RB; Martins, FR; Matias, LQ","spatiotemporal ecological drivers of an aquatic plant community in a temporary tropical pool","JOURNAL OF ARID ENVIRONMENTS","Article","ecological processes that extend over time and space organize plant communities, producing different spatiotemporal patterns of species aggregation (or non-aggregation). to investigate whether the spatiotemporal distribution patterns of the species are generated by interspecific competition and/or environmental filtering, we investigated the organization of an aquatic plant community in a temporary pool in the semiarid region of ne brazil. for seven months (during the rainy season), we sampled aquatic plants along transects in the pool and measured limnological parameters. the spatial structure of the community changed significantly over time. the input and permanence of species in the community varied according to the stage of flooding of the pool. this leads to the expectation that the species would have overlapping niches, causing interspecific competition to increase and exclude less efficient competitors. indeed, we found that the species coexisting in the pool were only slightly phylogenetically related, an evidence of interspecific competition. therefore, in the temporary pool, the spatiotemporal organization of the aquatic plant community appears to be driven by simultaneous action of ecological abiotic and biotic processes that operate in an antagonistic fashion. (c) 2015 elsevier ltd. all rights reserved.",0,2015,115,"","66","72",0,1,0,1
"Becker, PJJ; Reichert, S; Zahn, S; Hegelbach, J; Massemin, S; Keller, LF; Postma, E; Criscuolo, F; Criscuolo, O","mother - offspring and nest-mate resemblance but no heritability in early-life telomere length in white-throated dippers","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Article","telomeres are protective dna-protein complexes located at the ends of eukaryotic chromosomes, whose length has been shown to predict life-history parameters in various species. although this suggests that telomere length is subject to natural selection, its evolutionary dynamics crucially depends on its heritability. using pedigree data for a population of white-throated dippers (cinclus cinclus), we test whether and how variation in early-life relative telomere length (rtl, measured as the number of telomeric repeats relative to a control gene using qpcr) is transmitted across generations. we disentangle the relative effects of genes and environment and test for sex-specific patterns of inheritance. there was strong and significant resemblance among offspring sharing the same nest and offspring of the same cohort. furthermore, although offspring resemble their mother, and there is some indication for an effect of inbreeding, additive genetic variance and heritability are close to zero. we find no evidence for a role of either maternal imprinting or z-linked inheritance in generating these patterns, suggesting they are due to non-genetic maternal and common environment effects instead. we conclude that in this wild bird population, environmental factors are the main drivers of variation in early-life rtl, which will severely bias estimates of heritability when not modelled explicitly.",0,2015,282,"1807","","",0,0,1,1
"Tyne, JA; Johnston, DW; Rankin, R; Loneragan, NR; Bejder, L","the importance of spinner dolphin (stenella longirostris) resting habitat: implications for management","JOURNAL OF APPLIED ECOLOGY","Article","linking key ecological characteristics with animal behaviour is essential for identifying and protecting important habitats that support life functions. spinner dolphins display a predictable diurnal behavioural pattern where they forage offshore at night and return to sheltered bays during daytime to rest. these bays, which are also subject to considerable use by humans, have long been recognized as key habitats for this species although the extent to which dolphins rely on specific characteristics of these habitats for rest has not been quantified. an integration of boat-based and land-based group focal follow sampling regimes and three gradient boosting generalized additive models were developed to identify habitat features that contribute to the occurrence of resting spinner dolphins in coastal waters off hawai'i island. two in-bay' models used data collected within bays, and a third coastal' model (near-shore, outside of bays) used data collected both inside and outside of bays. the coastal model identified that spinner dolphins were unlikely to rest outside sheltered bays. in-bay models showed that dolphins rested throughout daylight hours within bays with a peak resting period between 10.00h to 14.00h. the models also identified bottom-substrate-type as an important predictor of rest. pseudo r-2 values of 061 and 070 for the in-bay models and 066 for the coastal model showed that these models provided a good fit to the behavioural data for the occurrence of resting spinner dolphins.synthesis and application. to date, studies evaluating spinner dolphin resting habitat have focussed on areas inside bays only. here, we combined data collected inside and outside bays, and illustrate that should resting spinner dolphins be displaced from resting bays, they are unlikely to engage in resting behaviour elsewhere. results provide further information on the importance of bays as important habitat for resting spinner dolphins. to mitigate the disturbance from human interactions during important rest periods, we recommend that management keep the spinner dolphin resting areas free from human activities. our quantitative approach where models explicitly link behaviour with habitat characteristics is applicable to identify important habitats for protection of other taxa. to date, studies evaluating spinner dolphin resting habitat have focussed on areas inside bays only. here, we combined data collected inside and outside bays, and illustrate that should resting spinner dolphins be displaced from resting bays, they are unlikely to engage in resting behaviour elsewhere. results provide further information on the importance of bays as important habitat for resting spinner dolphins. to mitigate the disturbance from human interactions during important rest periods, we recommend that management keep the spinner dolphin resting areas free from human activities. our quantitative approach where models explicitly link behaviour with habitat characteristics is applicable to identify important habitats for protection of other taxa.",0,2015,52,"3","621","630",0,0,1,1
"Wenzel, MA; James, MC; Douglas, A; Piertney, SB","genome-wide association and genome partitioning reveal novel genomic regions underlying variation in gastrointestinal nematode burden in a wild bird","MOLECULAR ECOLOGY","Article","identifying the genetic architecture underlying complex phenotypes is a notoriously difficult problem that often impedes progress in understanding adaptive eco-evolutionary processes in natural populations. host-parasite interactions are fundamentally important drivers of evolutionary processes, but a lack of understanding of the genes involved in the host's response to chronic parasite insult makes it particularly difficult to understand the mechanisms of host life history trade-offs and the adaptive dynamics involved. here, we examine the genetic basis of gastrointestinal nematode (trichostrongylus tenuis) burden in 695 red grouse (lagopus lagopus scotica) individuals genotyped at 384 genome-wide snps. we first use genome-wide association to identify individual snps associated with nematode burden. we then partition genome-wide heritability to identify chromosomes with greater heritability than expected from gene content, due to harbouring a multitude of additive snps with individually undetectable effects. we identified five snps on five chromosomes that accounted for differences of up to 556 worms per bird, but together explained at best 4.9% of the phenotypic variance. these snps were closely linked to genes representing a range of physiological processes including the immune system, protein degradation and energy metabolism. genome partitioning indicated genome-wide heritability of up to 29% and three chromosomes with excess heritability of up to 4.3% (total 8.9%). these results implicate snps and novel genomic regions underlying nematode burden in this system and suggest that this phenotype is somewhere between being based on few large-effect genes (oligogenic) and based on a large number of genes with small individual but large combined effects (polygenic).",0,2015,24,"16","4175","4192",0,0,1,1
"Bell, TW; Cavanaugh, KC; Reed, DC; Siegel, DA","geographical variability in the controls of giant kelp biomass dynamics","JOURNAL OF BIOGEOGRAPHY","Article","aimcoastal marine environments experience a wide range of biotic and abiotic forces that can limit and punctuate the geographical range and abundance of species through time. determining the relative strengths and nonlinear effects of these processes is vital to understanding the biogeographical structures of species. there has been an ongoing discussion concerning the relative importance of these processes in controlling the dynamics of giant kelp, macrocystis pyrifera, an important structure-forming species on shallow reefs in the eastern pacific. we used novel spatial time-series that span nearly three decades to determine the dominant drivers of giant kelp canopy biomass and the temporal and spatial scales over which they operate across the dominant range of the giant kelp in north america. locationnear-shore areas from ano nuevo, california, to the usa/mexico border. methodswe employed empirical orthogonal functions to elucidate the primary drivers of giant kelp canopy biomass across space and time and then fit generalized additive and linear models to determine the nonlinear effect and relative importance of each of these potential drivers along the c. 1500-km study region over a 25-year period. resultswave disturbance, nitrate availability and the state of the north pacific gyre oscillation were the most important environmental predictors of giant kelp canopy biomass, explaining 24.5%, 12.7% and 6.1% of the variance, respectively. environmental drivers of canopy biomass exhibited profound spatial differences in relative effect sizes. nonlinear effect shapes of each potential biomass driver were determined, which explained these spatial differences. main conclusionsthese large-scale analyses help to reconcile the local-scale conclusions of canopy biomass dynamics across the california coastline and show that these dynamics differ predictably in space and time in accordance with local and regional differences in environmental drivers. by characterizing the nonlinear effects of these drivers, we identified spatio-temporal patterns of processes that cannot be detected by remote sensing.",0,2015,42,"10","2010","2021",0,0,1,1
"Tu, WG; Gao, XF; Wu, N; Liu, SH","altitudinal patterns of vascular plant richness in high mountains: applying of generative additive model","POLISH JOURNAL OF ECOLOGY","Article","to explore and describe the species richness patterns along altitudinal, high mountain gradients, two transects - northern exposure (yg) and southern exposure (td) at mt. jiuding (1200-4200 m) in western china (31 degrees 13 '-31 degrees 46 ' n, 103 degrees 29 '-104 degrees 05 ' e) were selected. they differ from south to north in climate conditions and vegetation zonation, and each transect was sampled according to a uniform method. every 200 m along the altitudinal gradient we set a sampling belt of 3000 m x 5 m to record the tree species, and 30 plots of 5 m x 5 m within every vegetation belt were used to investigate shrub and herb species. we compared the composition of plant species and calculated the coefficient of similarity between the two transects. a generalized additive model (gam) was used to describe the richness patterns. for the whole mt. jiuding, the richness at all three levels (species, genus and family) showed a monotonically decreasing pattern. as for the different growth forms, richness of the trees, shrubs and pteridophytes showed hump-shaped patterns; and herbs showed a slow decreasing pattern along the altitudinal gradients. in td transect, the richness of species, genus and family also showed monotonically decreasing patterns; tree richness decreased with the increase of altitude; the shrub richness showed a humpshaped pattern; but pteridophytes and other herbs showed wave-like patterns. in yg transect, altitudinal gradient of richness at different taxonomic levels all showed hump-shaped patterns; and the species richness patterns for different growth forms peaked at middle attitude except for the graminoids and other herbs. the evolutionary history of the vegetation in mt. jiuding was quite consistent, and different richness patterns along altitudinal gradients might be resulted from different contemporary ecological conditions. human disturbance and different range of altitudinal gradients were also important factors for different richness patterns between the two transects. in our study, species in different growth forms showed different altitudinal patterns, but those species with similar requirements to environmental conditions showed similar richness patterns along altitudinal gradients.",1,2010,58,"2","231","240",0,0,1,1
"Dmitriew, C; Blanckenhorn, WU","condition dependence and the maintenance of genetic variance in a sexually dimorphic black scavenger fly","JOURNAL OF EVOLUTIONARY BIOLOGY","Article","the maintenance of genetic variation in traits under strong sexual selection is a longstanding problem in evolutionary biology. the genic capture model proposes that this problem can be explained by the evolution of condition dependence in exaggerated male traits. we tested the predictions that condition dependence should be more pronounced in male sexual traits and that genetic variance in expression of these traits should increase under stress as among-genotype variation in overall condition is exposed. genetic variance in female and nonsexual traits should, by contrast, be similar across environments as a result of stabilizing selection on trait expression. the relationship between the degree of sexual dimorphism, condition dependence and additive genetic variance (v-a) was assessed for two morphological traits (body size and relative fore femur width) affecting male mating success in the black scavenger fly sepsis punctum (diptera: sepsidae) and for development time (a nonsexual trait often correlated with body size). we compared trait expression between the sexes for two cross-continental populations that differ in degree of sexual dimorphism (ottawa and zurich). condition dependence was indeed most pronounced in males of the strongly dimorphic zurich population (males larger), and v-a was similar for males and females unless the trait was strongly sex specific and condition dependent. contrary to prediction, however, v-a primarily increased under food limitation in both sexes, and genetic variance in fore femur width was low to nil, perhaps depleted by putatively strong sexual selection. solely for body size of zurich males, v-a increased more in males than females at limited food, in accordance with the predictions of the genic capture model. overall therefore, quantitative genetic evidence in support of the model was inconsistent and weak at best.",0,2014,27,"11","2408","2419",0,0,1,1
"Crespi, EJ","a mechanistic understanding of ageing revealed by studying the young","MOLECULAR ECOLOGY","Editorial Material","a main focus within biomedical research is to understand how adverse environmental conditions experienced during early development affects lifelong health (barker 1992). within this context, extensive research in rodent models and humans has shown that intrauterine growth retardation (iugr) caused by nutrient restriction during early development is often followed by post-natal catch-up growth when access to food resources improves. however, this accelerated growth rate seems to come at a cost, as metabolic and endocrine processes that are programmed during this time cause later-life onset of diseases such as obesity, insulin resistance and cardiovascular disease (reviewed in crespi & denver 2005). in this issue molecular ecology, geiger (2012) asked what are the costs of catch-up growth in nutrient-restricted king penguin chicks (fig.similar to 1) by measuring lengths of telomeres, the protective dna sequences at the end of chromosomes, before and after catch-up growth, as the amount and rate of telomere sequence loss over time has been associated with reduced lifespan in both model and nonmodel organisms (see reviews of costantini 2010; haussmann & marchetto 2010). geiger (2011) found that chicks entering the post-winter growth season at a smaller size exhibited increased growth rates (i.e. catch-up growth) at the cost of increased oxidative stress and reduced telomere lengths compared with the chicks entering the growth period at a larger size. furthermore, chicks that did not survive had drastically shorter telomere lengths and reduced antioxidant capacities at the beginning of the growth period than all other chicks, thereby directly associating telomere length to mortality. these results suggest that while catch-up growth allows smaller chicks to head off into the world on equal footing with chicks that hatched at a larger size, it likely comes at the cost of a shortened lifespan. thus, this study provides a mechanism that supports the antagonistic pleiotropy theory of senescence (promislow 2004).",1,2012,21,"6","1307","1310",0,1,0,1
"Gomez, J; Barboza, FR; Defeo, O","environmental drivers defining linkages among life-history traits: mechanistic insights from a semiterrestrial amphipod subjected to macroscale gradients","ECOLOGY AND EVOLUTION","Article","determining the existence of interconnected responses among life-history traits and identifying underlying environmental drivers are recognized as key goals for understanding the basis of phenotypic variability. we studied potentially interconnected responses among senescence, fecundity, embryos size, weight of brooding females, size at maturity and sex ratio in a semiterrestrial amphipod affected by macroscale gradients in beach morphodynamics and salinity. to this end, multiple modelling processes based on generalized additive mixed models were used to deal with the spatio-temporal structure of the data obtained at 10 beaches during 22months. salinity was the only nexus among life-history traits, suggesting that this physiological stressor influences the energy balance of organisms. different salinity scenarios determined shifts in the weight of brooding females and size at maturity, having consequences in the number and size of embryos which in turn affected sex determination and sex ratio at the population level. our work highlights the importance of analysing field data to find the variables and potential mechanisms that define concerted responses among traits, therefore defining life-history strategies.",1,2013,3,"11","3918","3924",0,0,1,1
"Pedrana, J; Bernad, L; Maceira, NO; Isacch, JP","human-sheldgeese conflict in agricultural landscapes: effects of environmental and anthropogenic predictors on sheldgeese distribution in the southern pampa, argentina","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Article","sheldgeese species are currently the subject of serious conservation concern and have been a source of historical conflict with agricultural interests. here we assess the relative effects of environmental and anthropogenic predictors on sheldgeese (ruddy-headed goose chloephaga rubidiceps, ashy-headed goose chloephaga poliocephala and upland goose chloephaga picta) distribution in the southern pampas at different spatial scales. these birds were declared an ""agriculture plage"" by the government and this conflict with humans has been so far resolved with species persecution. we evaluate whether its current wintering distribution is shaped by anthropogenic disturbances or whether it can be better explained by differences in topography and preference for wetlands, or by landscape composition and configuration. we characterized the study region using 17 potential predictors related to environmental, human and landscape characteristics. we built habitat-suitability models to examine the relative effect of the variables on the regional occurrence of sheldgeese. we performed vehicle surveys in southern buenos aires province, in two years (2011-2012), surveying 9200 km of roads and recording 281 sheldgeese flocks. generalized additive models were used to model the presence/absence of geese in 250-m cells. the habitat suitability models of sheldgeese suggest that: (1) areas of low elevation surrounded by waterbodies are one of the main positive drivers of species distribution, (2) centers of human activity, which are regions with greater road accessibility, have a negative impact on species distribution, (3) heterogeneous landscape composed of croplands and grazing fields are preferred environments. (c) 2013 elsevier b.v. all rights reserved.",1,2014,183,"","31","39",0,0,1,1
"Imura, O; Morimoto, N; Shi, K; Sasaki, H","landscape diversity of pasture dung beetle communities in the central region of mainland japan and implications for conservation management","BIODIVERSITY AND CONSERVATION","Article","we studied the diversity of dung beetle communities in japanese pastures to identify the factors that maintain or enhance the diversity of dung beetles at a landscape scale. we surveyed dung beetles from 17 pastures located in the northeastern part of tochigi prefecture, which is in the center of mainland japan. from 1999 to 2001, surveys were conducted during the 6-month grazing period (may to october) by using dung baited basket traps. we also collected information about the environmental conditions and pasture management practices. twenty-five dung beetle species belonging to geotrupinae, scarabaeinae, and aphodiinae (including 13 tunneler and 12 dweller species) were recorded. the abundance of dweller species decreased with increasing elevation, possibly because of the effect of rainfall, whereas the species richness of tunneler species was affected by cattle disturbance and soil condition. beetle species richness significantly increased with the number of years that the pastures had been grazed. ivermectin administration did not appear to have any adverse effect on dung beetle abundance, species richness, or species diversity. the dung beetle datasets of the current study (including specific tunneler and dweller beetle groups) supported the widely documented positive relationship between local abundance and species distribution ranges. the within pasture, within area, and between area hierarchical additive partitioning of regional total diversity indicated that landscape-scale management should be implemented to conserve the regional diversity of the dung beetle communities inhabiting japanese pastures.",1,2014,23,"3","597","616",0,0,1,1
