authors,title,source,type,keywords,abstract,times_cited,PY,VL,IS,BP,EP,DI,synergy,antag,additive
"Levin, DA",Environment-enhanced self-fertilization: implications for niche shifts in adjacent populations,JOURNAL OF ECOLOGY,Review,adaptation; ecological divergence; marginal habitats; niche shifts; phenotypic plasticity; reproductive ecology; reproductive isolation; self-compatibility; speciation,"1. Pollen-mediated gene flow from ecological core populations may hamper the ability of populations to invade new, closely adjacent habitats. The potential for the invasion of a new habitat is enhanced when selection against immigrants is augmented by the elevation of self-fertilization. This shift imparts a measure of reproductive isolation to the invader. 2. Whereas genetically mediated changes in selfing often accompany niche shifts in plants, the elevation of self-fertilization by plastic responses to novel, stressful, environments has not been explored. Here I will show that invaders of novel habitats may have elevated levels of self-fertility mediated by alterations in floral form and self-compatibility. 3. Heightened selfing facilitates the evolution of local adaptation by increasing the additive genetic variance for tolerance to the new habitat. Heightened selfing also facilitates local adaptation by increasing reproductive assurance. 4. Elevated levels of selfing based on developmental responses are immediate, as opposed to that obtained by multigenerational selection. 5. Synthesis. The likelihood of a niche shift will be substantially enhanced if the invader is protected from the swamping effect of gene flow from a nearby core population. This protection may be afforded by an environment-induced elevation of self-fertility. The likelihood of a niche shift also is enhanced by an increase in reproductive assurance which may be vital to the survival of an invading population whose reproductive success is density-dependent.",27,2010,98,6,1276,1283,10.1111/j.1365-2745.2010.01715.x,,,
"Wang, XL; Cumming, SG",Configuration dynamics of boreal forest landscapes under recent fire and harvesting regimes in western Canada,LANDSCAPE ECOLOGY,Article,Boreal forest; Forest fire; Forest harvesting; Fragmentation; Landscape configuration; Landscape pattern metrics; Landscape dynamics,"Harvesting and forest fire change the spatial configurations of forest habitat. We used multivariate statistical models to evaluate the individual and cumulative effects of these two disturbances on habitat configuration in managed boreal forest landscapes in western Canada. We evaluated three aspects of configuration (core area, inter-patch distance and shape) using indices normalized for total habitat abundance. The two disturbances types had different effects on the three configuration metrics in terms of both the magnitude and direction of change. We found that the magnitudes of harvesting effects were larger than for fire. The direction of change was the same for core area and shape, but opposite for inter-patch distance which decreased slightly after fire. The combined effects of the two disturbances are distinct from the effects of either disturbance alone, and the effects are not always additive or compensatory for all metrics. Pre-treatment configuration was a significant covariate in all models, and total habitat abundance was significant in 4/9 models, but these were often not the most important covariates. In the cumulative disturbance model, covariates for the number or size of cut-blocks were significant.",1,2010,25,9,1419,1432,10.1007/s10980-010-9517-7,,,
"Knochel, DG; Monson, ND; Seastedt, TR",Additive effects of aboveground and belowground herbivores on the dominance of spotted knapweed (Centaurea stoebe),OECOLOGIA,Article,Biological control; Herbivory; Compensation; Plant competition; Nutrient limitation,"Spotted knapweed (Centaurea stoebe) is found in over 3 million ha of rangeland and forests across North America, and evidence supporting the use of biological control as a regional method to reduce infestations and their associated impacts remains inconclusive. Several species of insects have been reported to reduce plant densities in some areas; however, rigorous studies that test combinations of these species and the influence of resource availability are lacking. We examined the singular and combined effects of herbivory by a root weevil (Cyphocleonus achates) and a flower head weevil (Larinus minutus) on the growth and flower production of C. stoebe. We also manipulated soil resource fertility as an additional factor that could explain the outcomes of contradictory biological control herbivore effects on C. stoebe. In a greenhouse study, herbivory by C. achates decreased flower production for plants across all resource environments. In a caged common garden study, the negative effects of herbivory also did not interact with soil nutrient status. However, the presence of plant competition further decreased knapweed growth, and the negative effects of concurrent herbivory by C. achates and L. minutus on plant biomass and flower production were additive. Derived within the context of variable levels of soil nutrient availability and competing vegetation, these results support the cumulative stress hypothesis and the contention that combined above- and belowground herbivory can reduce spotted knapweed densities and reduce the ecological and economic impacts of this species in rangelands of western North America.",10,2010,164,3,701,712,10.1007/s00442-010-1708-z,,,
"Ishii, H; Takashima, A; Makita, N; Yoshida, S","Vertical stratification and effects of crown damage on maximum tree height in mixed conifer-broadleaf forests of Yakushima Island, southern Japan",PLANT ECOLOGY,Article,Additive basal area; Disturbance; Height growth; Old-growth; Species coexistence,"We investigated vertical stratification and effects of crown damage on maximum tree height in two mixed conifer-broadleaf forests in Yakushima Island, southern Japan. In both research plots, the conifer trees dominated the upper canopy while the broadleaved trees dominated the middle to lower canopy. Most broadleaved trees were shorter than the median crown-base height (H (CB)) of the conifer trees. Estimates of the maximum height (H (max)) of the conifer trees were greater than those of the broadleaved trees. Crown damage had significant negative effects on maximum height of the conifer trees. Crown damage was observed for 72.8-88.7% of the conifer trees, and severe types of damage such as stem breakage and top die-back were the most predominant. The H (max) of the damaged conifer trees was 16-17% shorter than that of the intact trees and as much as 16-28% shorter than the potential maximum height estimated from the diameter-height relationship of the tallest intact trees. We inferred that crown disturbance is an important factor determining the maximum height of the canopy of the two mixed forests. Our results suggested that vertical stratification between conifer and broadleaved trees may be an important mechanism contributing to their coexistence and additive basal area of mixed forests on Yakushima Island.",3,2010,211,1,27,36,10.1007/s11258-010-9768-z,,,
"Tylianakis, JM; Laliberte, E; Nielsen, A; Bascompte, J",Conservation of species interaction networks,BIOLOGICAL CONSERVATION,Article,Food web; Pollination; Global change; Invasion; Climate change; Global warming; Land use change; Parasitoid; Mutualism,"Recent work has shown that antagonist (e.g. predator-prey food web) and mutualist (e.g. pollinator-plant) network structure can be altered by global environmental change drivers, and that these alterations may have important ecosystem-level consequences. This has prompted calls for the conservation of network structure, but precisely which attributes of webs should be conserved remains unclear. Further, the extent to which network metrics characterise the spatiotemporally-variable dynamic structure of interacting communities is unknown. Here, we summarise the attributes of web structure that are predicted to confer stability or increased function to a system, as these may be of greatest interest to conservation biologists. However, empirical evaluation of these effects is lacking in most cases, and we discuss whether stability is even desirable in all contexts. The incorporation of web attributes into conservation monitoring requires that changes in these attributes can be recorded (sampled) with relative ease. We contrast the sensitivity of metrics to sampling effort, and highlight those (such as nestedness and connectance) that could easily be incorporated into conservation monitoring. Despite our growing understanding of the characteristics of food webs that confer stability and function, numerous practical challenges need to be overcome before the goal of conserving species interaction networks can be achieved. (C) 2009 Elsevier Ltd. All rights reserved.",121,2010,143,10,2270,2279,10.1016/j.biocon.2009.12.004,,,
"Williams, NM; Crone, EE; Roulston, TH; Minckley, RL; Packer, L; Potts, SG",Ecological and life-history traits predict bee species responses to environmental disturbances,BIOLOGICAL CONSERVATION,Article,Anthropogenic disturbance; Bees; Functional traits; Landscape change; Life-history response guilds,"The ability to predict the responses of ecological communities and individual species to human-induced environmental change remains a key issue for ecologists and conservation managers alike. Responses are often variable among species within groups making general predictions difficult. One option is to include ecological trait information that might help to disentangle patterns of response and also provide greater understanding of how particular traits link whole clades to their environment. Although this ""trait-guild"" approach has been used for single disturbances, the importance of particular traits on general responses to multiple disturbances has not been explored. We used a mixed model analysis of 19 data sets from throughout the world to test the effect of ecological and life-history traits on the responses of bee species to different types of anthropogenic environmental change. These changes included habitat loss, fragmentation, agricultural intensification, pesticides and fire. Individual traits significantly affected bee species responses to different disturbances and several traits were broadly predictive among multiple disturbances. The location of nests - above vs. below ground - significantly affected response to habitat loss, agricultural intensification, tillage regime (within agriculture) and fire. Species that nested above ground were on average more negatively affected by isolation from natural habitat and intensive agricultural land use than were species nesting below ground. In contrast below-ground-nesting species were more negatively affected by tilling than were above-ground nesters. The response of different nesting guilds to fire depended on the time since the burn. Social bee species were more strongly affected by isolation from natural habitat and pesticides than were solitary bee species. Surprisingly, body size did not consistently affect species responses, despite its importance in determining many aspects of individuals' interaction with their environment. Although synergistic interactions among traits remain to be explored, individual traits can be useful in predicting and understanding responses of related species to global change. (C) 2010 Elsevier Ltd. All rights reserved.",119,2010,143,10,2280,2291,10.1016/j.biocon.2010.03.024,,,
"Traill, LW; Bradshaw, CJA; Delean, S; Brook, BW",Wetland conservation and sustainable use under global change: a tropical Australian case study using magpie geese,ECOGRAPHY,Article,,"Imminent shifts in environmental parameters due to climatic change might have profound ramifications for wetlands listed under the Ramsar convention. Although the exact mechanisms by which global change will affect these systems are not known, models that simulate component drivers, particularly at a broad spatial scale, can nevertheless allow for more informed conservation decision making. Such general inference is particularly needed for wetlands across the tropics, where less knowledge and fewer resources are available to mitigate the impacts on important conservation sites. Here we develop a case study of wetland loss to sea level rise across tropical north Australia (including Ramsar-listed sites), and link these to a metapopulation model for a keystone endemic waterbird, the magpie goose Anseranas semipalmata. We projected published models on sea level rise through to the year 2400, and found a non-linear trajectory of inundation up to 20 m above present levels. Digital elevation models were used to simulate sea level rise and the spatially differentiated loss of wetland habitat used by geese. Range retraction was linked to decline in ecological carrying capacity, and we coupled wetland-specific habitat loss projections to a spatially explicit demographic metapopulation model. Additionally, we included alternate harvest strategies based on present-day estimates of indigenous and non-indigenous offtake of geese, and examined the synergy between wetland loss and hunting on extinction risk. Our results suggest that Australia's once-abundant and widespread magpie goose will be reduced to a fragmented population of just a few thousand individuals within the next 200-300 yr. Harvest could continue for some time, up to a ""tipping point'' at around 5% loss of current wetland habitat, after which the decline of geese is rapid. Given the inexorable nature of sea level rise, short-to medium-term conservation of waterbirds across Ramsar wetlands must prepare for adaptive wetland management, such as through buffer-placement, and ongoing monitoring of harvest.",14,2010,33,5,818,825,10.1111/j.1600-0587.2009.06205.x,,,
"Kremer, N; Dedeine, F; Charif, D; Finet, C; Allemand, R; Vavre, F",DO VARIABLE COMPENSATORY MECHANISMS EXPLAIN THE POLYMORPHISM OF THE DEPENDENCE PHENOTYPE IN THE ASOBARA TABIDA-WOLBACHIA ASSOCIATION?,EVOLUTION,Article,Apoptosis; oxidative stress; symbiosis; tolerance,"Wolbachia are symbiotic intracellular bacteria, which are classified as reproductive parasites. Although generally facultative, Wolbachia is necessary for Asobara tabida (Hymenoptera), because aposymbiotic females do not produce any offspring. Interestingly, the ovarian phenotype of aposymbiotic females is variable: some females do not produce any eggs, whereas others do produce some eggs, but these are aborted. Here, we show that the ovarian phenotype of aposymbiotic females is highly polymorphic within populations, although dependence remains complete in both cases. We also identified some lines in which aposymbiotic females were able to produce a very few viable offspring, further extending the range of variation observed. These results suggest that various factors actively maintain polymorphism. We demonstrated that Wolbachia is necessary to trigger oogenetic processes, but that the ovarian phenotype was determined by the host only. Phenotypic variation was also correlated with the differential expression of genes controlling iron homeostasis and oxidative stress, which are potentially involved in the evolution of dependence. This suggests that variation in the ovarian phenotype could reflect selection for different levels of compensatory mechanisms in response to Wolbachia infection, and that polymorphism is maintained through selection on different antagonist traits influenced by oxidative stress.",11,2010,64,10,2969,2979,10.1111/j.1558-5646.2010.01034.x,,,
"Bradbury, RB; Stoate, C; Tallowin, JRB",Lowland farmland bird conservation in the context of wider ecosystem service delivery,JOURNAL OF APPLIED ECOLOGY,Letter,agri-environment; climate change; ecosystem approach; land-use; multi-objective; multifunctional; regulating; resource protection,"P>1. Much policy and research in the UK and elsewhere in Europe has been directed towards the conservation of farmland birds. With changes in the drivers of agricultural land management, farmland bird conservation now needs to be considered alongside provision of a range of ecosystem services (ES) indicative of environmentally sustainable land-management. 2. We explore the extent to which land management for farmland bird conservation provides 'cultural' ES, before assessing the potential consistency between management for bird species conservation and for a suite of ES that relate to the regulation of ecosystem processes. 3. We discuss the potential for co-delivery and trade-offs between farmland bird conservation and regulating ES, at a range of locations and spatial scales. 4. Potentially, action to enhance regulating services could provide some co-benefits for farmland bird conservation. However, more targeted management will still be required for certain species. 5. Synthesis and applications. Integration of species conservation management practices, in this case in farmland, with provision of other ES will be a significant challenge to land management. This will demand careful planning, at multiple scales, to account for the range of synergies and trade-offs between services, the dependence of service provision on time and location of management, and the dependence of service benefit on the number, locations and preferences of human beneficiaries.",14,2010,47,5,986,993,10.1111/j.1365-2664.2010.01843.x,,,
"Roulin, A; Almasi, B; Jenni, L",Temporal variation in glucocorticoid levels during the resting phase is associated in opposite way with maternal and paternal melanic coloration,JOURNAL OF EVOLUTIONARY BIOLOGY,Article,corticosterone; daily rhythm; glucocorticoids; intralocus genetic conflict; melanin-based coloration; sexually antagonistic selection,"Sex-dependent selection can help maintain sexual dimorphism. When the magnitude of selection exerted on a heritable sex trait differs between the sexes, it may prevent each sex to reach its phenotypic optimum. As a consequence, the benefit of expressing a sex trait to a given value may differ between males and females favouring sex-specific adaptations associated with different values of a sex trait. The level of metabolites regulated by genes that are under sex-dependent selection may therefore covary with the degree of ornamentation differently in the two sexes. We investigated this prediction in the barn owl, a species in which females display on average larger black spots on the plumage than males, a heritable ornament. This melanin-based colour trait is strongly selected in females and weakly counter-selected in males indicating sex-dependent selection. In nestling barn owls, we found that daily variation in baseline corticosterone levels, a key hormone that mediates life history trade-offs, covaries with spot diameter displayed by their biological parents. When their mother displayed larger spots, nestlings had lower corticosterone levels in the morning and higher levels in the evening, whereas the opposite pattern was found with the size of paternal spots. Our study suggests a link between daily regulation of glucocorticoids and sex-dependent selection exerted on sexually dimorphic melanin-based ornaments.",10,2010,23,10,2046,2053,10.1111/j.1420-9101.2010.02086.x,,,
"O'Farrell, PJ; Reyers, B; Le Maitre, DC; Milton, SJ; Egoh, B; Maherry, A; Colvin, C; Atkinson, D; De Lange, W; Blignaut, JN; Cowling, RM",Multi-functional landscapes in semi arid environments: implications for biodiversity and ecosystem services,LANDSCAPE ECOLOGY,Article; Proceedings Paper,Ecosystem service assessment; Grazing; Water; Tourism; Biodiversity hotspots; Climate change,"Synergies between biodiversity conservation objectives and ecosystem service management were investigated in the Succulent Karoo biome (83,000 km(2)) of South Africa, a recognised biodiversity hotspot. Our study complemented a previous biodiversity assessment with an ecosystem service assessment. Stakeholder engagement and expert consultation focussed our investigations on surface water, ground water, grazing and tourism as the key services in this region. The key ecosystem services and service hotspots were modelled and mapped. The congruence between these services, and between biodiversity priorities and ecosystem service priorities, were assessed and considered in relation to known threats. Generally low levels of overlap were found between these ecosystem services, with the exception of surface and ground water which had an 80% overlap. The overlap between ecosystem service hotspots and individual biodiversity priority areas was generally low. Four of the seven priority areas assessed have more than 20% of their areas classified as important for services. In specific cases, particular service levels could be used to justify the management of a specific biodiversity priority area for conservation. Adopting a biome scale hotspot approach to assessing service supply highlighted key management areas. However, it underplayed local level dependence on particular services, not effectively capturing the welfare implications associated with diminishing and limited service provision. We conclude that regional scale (biome level) approaches need to be combined with local level investigations (municipal level). Given the regional heterogeneity and varied nature of the impacts of drivers and threats, diverse approaches are required to steer land management towards sustainable multifunctional landscape strategies.",30,2010,25,8,1231,1246,10.1007/s10980-010-9495-9,,,
