authors,title,source,type,keywords,abstract,times)cited,PY,VL,IS,BP,EP,DI
"Mantyka-Pringle, CS; Martin, TG; Rhodes, JR",Interactions between climate and habitat loss effects on biodiversity: a systematic review and meta-analysis,GLOBAL CHANGE BIOLOGY,Article,climate change; habitat fragmentation; habitat loss; interactions; meta-analysis; mixed-effects logistic regression,"Climate change and habitat loss are both key threatening processes driving the global loss in biodiversity. Yet little is known about their synergistic effects on biological populations due to the complexity underlying both processes. If the combined effects of habitat loss and climate change are greater than the effects of each threat individually, current conservation management strategies may be inefficient and at worst ineffective. Therefore, there is a pressing need to identify whether interacting effects between climate change and habitat loss exist and, if so, quantify the magnitude of their impact. In this article, we present a meta-analysis of studies that quantify the effect of habitat loss on biological populations and examine whether the magnitude of these effects depends on current climatic conditions and historical rates of climate change. We examined 1319 papers on habitat loss and fragmentation, identified from the past 20 years, representing a range of taxa, landscapes, land-uses, geographic locations and climatic conditions. We find that current climate and climate change are important factors determining the negative effects of habitat loss on species density and/or diversity. The most important determinant of habitat loss and fragmentation effects, averaged across species and geographic regions, was current maximum temperature, with mean precipitation change over the last 100 years of secondary importance. Habitat loss and fragmentation effects were greatest in areas with high maximum temperatures. Conversely, they were lowest in areas where average rainfall has increased over time. To our knowledge, this is the first study to conduct a global terrestrial analysis of existing data to quantify and test for interacting effects between current climate, climatic change and habitat loss on biological populations. Understanding the synergistic effects between climate change and other threatening processes has critical implications for our ability to support and incorporate climate change adaptation measures into policy development and management response.",78,2012,18,4,1239,1252,10.1111/j.1365-2486.2011.02593.x
"Azeria, ET; Ibarzabal, J; Hebert, C",Effects of habitat characteristics and interspecific interactions on co-occurrence patterns of saproxylic beetles breeding in tree boles after forest fire: null model analyses,OECOLOGIA,Article,Community assembly; Forest fire; Species-habitat association; Interspecific interactions; Habitat-constrained null models; Saproxylic beetles,"It is often suggested that habitat attributes and interspecific interactions can cause non-random species co-occurrence patterns, but quantifying their contributions can be difficult. Null models that systematically exclude and include habitat effects can give information on the contribution of these factors to community assembly. In the boreal forest, saproxylic beetles are known to be attracted to recently burned forests where they breed in dead and dying trees. We examined whether species co-occurrences of saproxylic beetles that develop in, and emerge from, boles of recently burned trees show non-random patterns. We also estimated the extent to which both the post-fire habitat attributes and interspecific interactions among beetles contribute to such patterns. We sampled tree boles encompassing key attributes (tree species, tree size/dbh and burn severity) that are thought to characterize species-habitat associations of saproxylic beetles, a proposition that we tested using indicator species analysis. Two null models with no habitat constraints (""unconstrained"") indicated that a total of 29.4% of the species pairs tested had significant co-occurrence patterns. Habitat-constrained null models indicated that most of the detected species aggregations (72%) and segregations (59%) can be explained by shared and distinct species-habitat relationships, respectively. The assembly pattern was also driven by interspecific interactions, of which some were modulated by habitat; for example, predator and prey species tended to co-occur in large-sized trees (a proxy of available bark/wood food resource primarily for the prey). In addition, some species segregation suggesting antagonistic, competitive, or prey-predator interactions were evident after accounting for the species' affinities for the same tree species. Overall, our results suggest that an intimate link between habitat and interspecific interactions can have important roles for community assembly of saproxylic assemblages even following disturbance by fire. We also show that a systematic application of null models can offer insight into the mechanisms behind the assembly of ecological communities.",10,2012,168,4,1123,1135,10.1007/s00442-011-2180-0
"O'Gorman, EJ; Fitch, JE; Crowe, TP",Multiple anthropogenic stressors and the structural properties of food webs,ECOLOGY,Article,biodiversity; ecosystem functioning; marine; nitrogen deposition; nutrient enrichment; predator-prey interactions,"Coastal environments are among the most productive on the planet, providing a wide range of ecosystem services. Development and exploitation mean that they are faced with stresses from a number of anthropogenic sources. Such stresses are typically studied in isolation, but multiple stressors can combine in unexpected ways to alter the structure of ecological systems. Here, we experimentally explore the impacts of inorganic nutrients and organic matter on a range of food web properties. We find that these two stressors combine additively to produce significant increases in connectance and mean food chain length. Such increases are typically associated with enhanced robustness to secondary extinctions and productivity, respectively. Despite these apparent beneficial effects, we find a simplification of web structure in terms of taxon richness and diversity, and altered proportions of basal and top species. These effects are driven by a reduction in community assembly and lower consistency in a range of system properties as a result of the multiple stressors. Consequently, impacted food webs are likely to be more vulnerable to human- or climate-induced perturbations in the long term.",18,2012,93,3,441,448,
"Miller, GR; Cable, JM; McDonald, AK; Bond, B; Franz, TE; Wang, LX; Gou, S; Tyler, AP; Zou, CB; Scott, RL",Understanding ecohydrological connectivity in savannas: a system dynamics modelling approach,ECOHYDROLOGY,Article,cross-scale interactions; feedbacks; resilience; disturbance; system dynamics; soil moisture dynamics; evapotranspiration,"Ecohydrological connectivity is a system level property that results from the linkages in the networks of water transport through ecosystems, by which feedbacks and other emergent system behaviours may be generated. We created a system dynamics model that represents primary ecohydrological networks to examine how connectivity between ecosystem components impacts ecosystem processes. Here, we focused on the savanna ecosystems, although the analyses may be expanded to other ecosystem types in the future. To create the model, a set of differential equations representing ecohydrological processes was programmed into the dynamic solver Vensim. Stocks of water storage (e.g. atmospheric and soil moisture) were linked by flows [e.g. precipitation and evapotranspiration (ET)] that were in turn dynamically controlled by the amount of water stored. Precipitation was forced stochastically, and soil moisture and potential ET controlled actual ET. The model produced extended, probabilistic time series of stocks and flows, including precipitation, soil moisture, runoff, transpiration, and groundwater recharge. It was used to describe the behaviour of several previously studied savanna ecosystems in North America and Africa. The model successfully reproduced seasonal patterns of soil moisture dynamics and ET at the California site. It also demonstrated more complex, system level behaviours, such as multiyear persistence of drought and synergistic or antagonistic responses to disconnection of system components. Future improvements to the model will focus on capturing other important aspects of long-term system behaviour, such as changes in physiology or phenology, and spatial heterogeneity, such as the patchwork nature of savannas. Copyright (C) 2011 John Wiley & Sons, Ltd.",9,2012,5,2,200,220,10.1002/eco.245
"Relyea, RA",New effects of Roundup on amphibians: Predators reduce herbicide mortality; herbicides induce antipredator morphology,ECOLOGICAL APPLICATIONS,Article,American toads (Bufo americanus or Anaxyrus americanus); amphibian decline; dragonflies (Anax junius); glyphosphate; inducible defense; leopard frogs (Rana pipiens or Lithobates pipiens); newts (Notophthalmus viridescens); phenotypic plasticity; synergy; wood frogs (Rana sylvatica or Lithobates sylvaticus),"The use of pesticides is important for growing crops and protecting human health by reducing the prevalence of targeted pest species. However, less attention is given to the potential unintended effects on nontarget species, including taxonomic groups that are of current conservation concern. One issue raised in recent years is the potential for pesticides to become more lethal in the presence of predatory cues, a phenomenon observed thus far only in the laboratory. A second issue is whether pesticides can induce unintended trait changes in nontarget species, particularly trait changes that might mimic adaptive responses to natural environmental stressors. Using outdoor mesocosms, I created simple wetland communities containing leaf litter, algae, zooplankton, and three species of tadpoles (wood frogs [Rana sylvatica or Lithobates sylvaticus], leopard frogs [R. pipiens or L. pipiens], and American toads [Bufo americanus or Anaxyrus americanus]). I exposed the communities to a factorial combination of environmentally relevant herbicide concentrations (0, 1, 2, or 3 mg acid equivalents [a.e.]/L of Roundup Original MAX) crossed with three predator-cue treatments (no predators, adult newts [Notophthalmus viridescens], or larval dragonflies [A flax junius]). Without predator cues, mortality rates from Roundup were consistent with past studies. Combined with cues from the most risky predator (i.e., dragonflies), Roundup became less lethal (in direct contrast to past laboratory studies). This reduction in mortality was likely caused by the herbicide stratifying in the water column and predator cues scaring the tadpoles down to the benthos where herbicide concentrations were lower. Even more striking was the discovery that Roundup induced morphological changes in the tadpoles. In wood frog and leopard frog tadpoles, Roundup induced relatively deeper tails in the same direction and of the same magnitude as the adaptive changes induced by dragonfly cues. To my knowledge, this is the first study to show that a pesticide can induce morphological changes in a vertebrate. Moreover, the data suggest that the herbicide might be activating the tadpoles' developmental pathways used for antipredator responses. Collectively, these discoveries suggest that the world's most widely applied herbicide may have much further-reaching effects on nontarget species than previous considered.",27,2012,22,2,634,647,
"Watson, SJ; Taylor, RS; Nimmo, DG; Kelly, LT; Haslem, A; Clarke, MF; Bennett, AF",Effects of time since fire on birds: How informative are generalized fire response curves for conservation management?,ECOLOGICAL APPLICATIONS,Article,birds; chronosequence; conservation; disturbance; fire; mallee; semiarid shrubland; southeastern Australia; succession; time since fire,"Fire is both a widespread natural disturbance that affects the distribution of species and a tool that can be used to manage habitats for species. Knowledge of temporal changes in the occurrence of species after fire is essential for conservation management in fire-prone environments. Two key issues are: whether postfire responses of species are idiosyncratic or if multiple species show a limited number of similar responses; and whether such responses to time since fire can predict the occurrence of species across broad spatial scales. We examined the response of bird species to time since fire in semiarid shrubland in southeastern Australia using data from surveys at 499 sites representing a 100-year chronosequence. We used nonlinear regression to model the probability of occurrence of 30 species with time since. fire in two vegetation types, and compared species' responses with generalized response shapes from the literature. The occurrence of 16 species was significantly influenced by time since fire: they displayed six main responses consistent with generalized response shapes. Of these 16 species, 15 occurred more frequently in mid- or later-successional vegetation (>20 years since fire), and only one species occurred more often in early succession (<5 years since fire). The models had reasonable predictive ability for eight species, some predictive ability for seven species, and were little better than random for one species. Bird species displayed a limited range of responses to time since fire; thus a small set of fire ages should allow the provision of habitat for most species. Postfire successional changes extend for decades and management of the age class distribution of vegetation will need to reflect this timescale. Response curves revealed important seral stages for species and highlighted the importance of mid- to late-successional vegetation (>20 years). Although time since fire clearly influences the distribution of numerous bird species, predictive models of the spatial distribution of species in fire-prone landscapes need to incorporate other factors in addition to time since fire.",24,2012,22,2,685,696,
"Brodie, J; Post, E; Laurance, WF",Climate change and tropical biodiversity: a new focus,TRENDS IN ECOLOGY & EVOLUTION,Article,,"Considerable efforts are focused on the consequences of climate change for tropical rainforests. However, potentially the greatest threats to tropical biodiversity (synergistic interactions between climatic changes and human land use) remain understudied. Key concerns are that aridification could increase the accessibility of previously non-arable or remote lands, elevate fire impacts and exacerbate ecological effects of habitat disturbance. The growing climatic change literature often fails to appreciate that, in coming decades, climate land use interactions might be at least as important as abiotic changes per se for the fate of tropical biodiversity. In this review, we argue that protected area expansion along key ecological gradients, regulation of human-lit fires, strategic forest carbon financing and re-evaluations of agricultural and biofuel subsidies could ameliorate some of these synergistic threats.",19,2012,27,3,145,150,10.1016/j.tree.2011.09.008
"Wojtal-Frankiewicz, A",The effects of global warming on Daphnia spp. population dynamics: a review,AQUATIC ECOLOGY,Review,Climate anomalies; Phenology; Clear-water phase; Match/mismatch; Midsummer decline,"Various species of Daphnia usually play a key role in the food web of temperate freshwater systems. There is much evidence to show that climate change may influence Daphnia population dynamics, consequently altering both predator-prey interactions and the efficiency of algal biomass control in these ecosystems. This review will analyse and discuss the current knowledge on Daphnia responses to climate warming based on an analysis of selected papers. The presented results indicate that warming may have important direct and indirect effects on Daphnia biology and ecology via its influence on their life-history processes (metabolism, growth, reproduction) and the properties of their habitats. The plasticity of daphnids in terms of adaptive responses is generally high and includes phenotypic adaptations and changes in genotypes, although it also depends upon the strength of selection and the available genetic variation. The seasonal timing and magnitude of temperature increases are important for seasonal biomass fluctuations of Daphnia and similarly influence the potential synchrony of daphnids and phytoplankton succession (the timing hypothesis). In light of the most recent studies on this topic, even a minor warming during short but critical seasonal periods can cause factors that disturb Daphnia population dynamics to coincide, which may destabilize lake food webs by decoupling trophic interactions. Both winter and spring are important critical periods for determining future seasonal fluxes of Daphnia spp. and, consequently, the time of the clear-water phase and the occurrence and duration of Daphnia midsummer decline. Winter conditions may also affect the impact of fish predation on daphnids during summer months. However, the effects of global warming on Daphnia population dynamics and on ecosystem functioning are often difficult to predict due to their complexity and the presence of both antagonistic and synergistic drivers. Thus, the diverse responses of daphnids to climate anomalies depend on both biotic (predator abundance and seasonal phytoplankton succession) and abiotic factors (e.g. hydrodynamics, intensity and duration of thermal stratification, trophic state or geomorphology) of lakes, which are directly influenced by weather changes. The analysis and quantification of such complex interactions require the involvement of different kinds of specialists and the development of accurate research approaches, such as molecular genetic methods or mathematical modelling.",13,2012,46,1,37,53,10.1007/s10452-011-9380-x
"Li, ZH; Lu, GH; Yang, XF; Wang, C",Single and combined effects of selected pharmaceuticals at sublethal concentrations on multiple biomarkers in Carassius auratus,ECOTOXICOLOGY,Article,Caffeine; Sulfamethoxazole; Biomarker; Carassius auratus,"In this study, the sublethal effects of caffeine, sulfamethoxazole and their mixture on goldfish (Carassius auratus) were investigated, the biomarkers including acetylcholinesterase (AChE) in brain, 7-ethoxyresorufin O-deethylase (EROD), glutathione S-transferase (GST) and superoxide dismutase (SOD) in liver and vitellogenin (VTG) in serum were determined after 1, 2, 4, and 7 days of exposure. AChE activity was significantly inhibited by caffeine (a parts per thousand yen0.4 mg/l), sulfamethoxazole (a parts per thousand yen0.4 mg/l) and their mixtures (a parts per thousand yen0.048 mg/l) during all exposure periods, and obvious concentration-response and time-response relationships were obtained. EROD, GST and SOD activities were significantly increased by individual compounds and mixtures in most cases. GST induction exhibited bell-shaped concentration-response curves. Serum VTG was significantly induced by 2 mg/l of caffeine, 10 mg/l of sulfamethoxazole and the mixtures at concentrations a parts per thousand yen1.2 mg/l. In general, the two pharmaceuticals induced similar biological responses. The joint effect of caffeine/sulfamethoxazole was additive with regard to AChE and GST activity variation and was antagonistic with regard to EROD and SOD induction. The results indicated that multiple biomarker response method might be a useful tool for describing an integrated toxicological effect of chemicals. VTG induction suggested that caffeine and sulfamethoxazole may cause a slightly feminization effect.",16,2012,21,2,353,361,10.1007/s10646-011-0796-9
"Anbalagan, C; Lafayette, I; Antoniou-Kourounioti, M; Haque, M; King, J; Johnsen, B; Baillie, D; Gutierrez, C; Martin, JAR; de Pomerai, D",Transgenic nematodes as biosensors for metal stress in soil pore water samples,ECOTOXICOLOGY,Article,Transgenic C. elegans; GFP reporters; Stress-response pathways; Metal contamination; Soil water; Mathematical modelling,"Caenorhabditis elegans strains carrying stress-reporter green fluorescent protein transgenes were used to explore patterns of response to metals. Multiple stress pathways were induced at high doses by most metals tested, including members of the heat shock, oxidative stress, metallothionein (mtl) and xenobiotic response gene families. A mathematical model (to be published separately) of the gene regulatory circuit controlling mtl production predicted that chemically similar divalent metals (classic inducers) should show additive effects on mtl gene induction, whereas chemically dissimilar metals should show interference. These predictions were verified experimentally; thus cadmium and mercury showed additive effects, whereas ferric iron (a weak inducer) significantly reduced the effect of mercury. We applied a similar battery of tests to diluted samples of soil pore water extracted centrifugally after mixing 20% w/w ultrapure water with air-dried soil from an abandoned lead/zinc mine in the Murcia region of Spain. In addition, metal contents of both soil and soil pore water were determined by ICP-MS, and simplified mixtures of soluble metal salts were tested at equivalent final concentrations. The effects of extracted soil pore water (after tenfold dilution) were closely mimicked by mixtures of its principal component ions, and even by the single most prevalent contaminant (zinc) alone, though other metals modulated its effects both positively and negatively. In general, mixtures containing similar (divalent) metal ions exhibited mainly additive effects, whereas admixture of dissimilar (e.g. trivalent) ions often resulted in interference, reducing overall levels of stress-gene induction. These findings were also consistent with model predictions.",8,2012,21,2,439,455,10.1007/s10646-011-0804-0
"Bezirci, G; Akkas, SB; Rinke, K; Yildirim, F; Kalaylioglu, Z; Severcan, F; Beklioglu, M",Impacts of salinity and fish-exuded kairomone on the survival and macromolecular profile of Daphnia pulex,ECOTOXICOLOGY,Article,Ecotoxicology; Multiple stressors; Interaction effect; Life history; Attenuated total reflectance Fourier transform infrared spectroscopy; Global warming,"Global warming is already causing salinization of freshwater ecosystems located in semi-arid regions, including Turkey. Daphnids, which are important grazers on phytoplankton and a major food source for fish and invertebrates, are sensitive to not only changes in salinity levels, but also presence of predators. In this study, the interactive effect of salinity toxicity (abiotic factor) with predation pressure mimicked by the fish-exuded kairomone (biotic factor) and the effect of salt acclimation on daphnids were investigated. Impacts of these stressors on daphnid survival, life history and molecular profile were observed. The presence of the kairomone antagonistically alters the effect of salinity, as observed from the 24- and 48-h LC50 values and survival results. Molecular findings provided solid evidence to this antagonism at even lower salt concentrations, for which antagonism was not evident with organismal data. Fish predation counterbalances the negative effect of salinity in terms of reserve energy density. Therefore, it is important to investigate multiple stressor effects in ecotoxicological bioassays complemented with molecular techniques. The single effect of increasing salinity resulted in increased mortality, decreased fecundity, and slower somatic growth in Daphnia, despite their acclimation to salinity. This insignificance of acclimation indicates that Daphnia do not have any physiological mechanisms to buffer the adverse effects of salinity, making it a very crucial factor. Salinity-induced reduction in population growth rate of freshwater keystone species Daphnia-despite acclimation-indicates that global warming-induced salinity may cascade through the food web and lead to dramatic environmental consequences in the structure of lake ecosystems.",7,2012,21,2,601,614,10.1007/s10646-011-0820-0
"Hoover, SER; Ladley, JJ; Shchepetkina, AA; Tisch, M; Gieseg, SP; Tylianakis, JM","Warming, CO2, and nitrogen deposition interactively affect a plant-pollinator mutualism",ECOLOGY LETTERS,Article,Bombus; bottom-up; carbon dioxide; Cucurbita; ecosystem service; global change; global warming; higher-order effects; pollination; species interactions; temperature,"Environmental changes threaten plant-pollinator mutualisms and their critical ecosystem service. Drivers such as land use, invasions and climate change can affect pollinator diversity or species encounter rates. However, nitrogen deposition, climate warming and CO2 enrichment could interact to disrupt this crucial mutualism by altering plant chemistry in ways that alter floral attractiveness or even nutritional rewards for pollinators. Using a pumpkin model system, we show that these drivers non-additively affect flower morphology, phenology, flower sex ratios and nectar chemistry (sugar and amino acids), thereby altering the attractiveness of nectar to bumble bee pollinators and reducing worker longevity. Alarmingly, bees were attracted to, and consumed more, nectar from a treatment that reduced their survival by 22%. Thus, three of the five major drivers of global environmental change have previously unknown interactive effects on plant-pollinator mutualisms that could not be predicted from studies of individual drivers in isolation.",20,2012,15,3,227,234,10.1111/j.1461-0248.2011.01729.x
"McConkey, KR; Prasad, S; Corlett, RT; Campos-Arceiz, A; Brodie, JF; Rogers, H; Santamaria, L",Seed dispersal in changing landscapes,BIOLOGICAL CONSERVATION,Review,Biological invasions; Climate change; Fragmentation; Hunting; Overharvesting; Seed dispersal,"A growing understanding of the ecology of seed dispersal has so far had little influence on conservation practice, while the needs of conservation practice have had little influence on seed dispersal research. Yet seed dispersal interacts decisively with the major drivers of biodiversity change in the 21st century: habitat fragmentation, overharvesting, biological invasions, and climate change. We synthesize current knowledge of the effects these drivers have on seed dispersal to identify research gaps and to show how this information can be used to improve conservation management. The drivers, either individually, or in combination, have changed the quantity, species composition, and spatial pattern of dispersed seeds in the majority of ecosystems worldwide, with inevitable consequences for species survival in a rapidly changing world. The natural history of seed dispersal is now well-understood in a range of landscapes worldwide. Only a few generalizations that have emerged are directly applicable to conservation management, however, because they are frequently confounded by site-specific and species-specific variation. Potentially synergistic interactions between disturbances are likely to exacerbate the negative impacts, but these are rarely investigated. We recommend that the conservation status of functionally unique dispersers be revised and that the conservation target for key seed dispersers should be a population size that maintains their ecological function, rather than merely the minimum viable population. Based on our analysis of conservation needs, seed dispersal research should be carried out at larger spatial scales in heterogenous landscapes, examining the simultaneous impacts of multiple drivers on community-wide seed dispersal networks. (C) 2011 Elsevier Ltd. All rights reserved.",64,2012,146,1,1,13,10.1016/j.biocon.2011.09.018
"Alton, LA; White, CR; Wilson, RS; Franklin, CE",The energetic cost of exposure to UV radiation for tadpoles is greater when they live with predators,FUNCTIONAL ECOLOGY,Article,activity; amphibian declines; interactive effects; metabolic rate; multiple stressors; predation; ultraviolet radiation,"1. Global increases in ultraviolet-B radiation (UVBR) associated with stratospheric ozone depletion are thought to be contributing to the rapid disappearance of amphibian populations from pristine habitats around the world. Much research has been dedicated to understanding the effects of ultraviolet radiation (UVR) alone and in combination with other environmental stressors on the early life stages of amphibians. Little is known, however, of how UVR affects amphibian metabolism, or how amphibian metabolism may change in response to exposure to other stressors in addition to UVR. 2. Using a controlled laboratory experiment, we examined the independent and interactive effects of UVR and non-lethal predatory chemical cues (PCC) on the tissue and whole-animal metabolic rate (MR) and activity of striped marsh frog Limnodynastes peronii tadpoles. PCC signal risk of predation, which is a natural stressor that can cause tadpoles to alter their behaviour, morphology, and life history, and for which the metabolic cost remains little explored. 3. We found that exposure to UVR caused tissue MR to increase by 36%, but whole-animal MR to decrease by 14%, which is most likely due to tadpoles reducing their activity levels by 56%. Exposure to PCC had no significant effect on tissue or whole-animal MR, but caused tadpoles to reduce their activity levels by 36%, indicating that the whole-animal MR of tadpoles exposed to PCC is elevated relative to their activity levels. Compared with tadpoles exposed to neither stressor, tadpoles exposed simultaneously to UVR and PCC showed no change in whole-animal MR despite reducing their activity levels by 62%. 4. This research shows that, for tadpoles, there is an energetic cost associated with being exposed to UVR and PCC independently, and that this cost is greater when they are exposed to both stressors simultaneously. Our previous research has shown that exposure of tadpoles to PCC enhances the lethal effects of UVR, and the present study suggests that this synergistic interaction may arise as a consequence of the effect of these combined stressors on MR. Global increases in UVBR may therefore be contributing to amphibian population declines by compromising energy allocation towards growth and development as well as energy allocation towards coping with additional environmental stressors.",11,2012,26,1,94,103,10.1111/j.1365-2435.2011.01900.x
"Orledge, JM; Blount, JD; Hoodless, AN; Pike, TW; Royle, NJ","Synergistic effects of supplementation of dietary antioxidants during growth on adult phenotype in ring-necked pheasants, Phasianus colchicus",FUNCTIONAL ECOLOGY,Article,carotenoids; oxidative stress; sexual selection; vitamin E,"1. Oxidative stress may provide a proximate link between investment in growth and/or reproduction and investment in self-maintenance. Dietary antioxidants, such as carotenoids and vitamin E, provide potentially important roles in regulating these trade-offs. Recent work suggests that carotenoids may have synergistic effects in combination with non-pigmentary antioxidants (e.g. vitamin E) on the expression of sexually selected traits in adulthood. However, these studies involved the supplementation of antioxidants to adults so did not take account of early life-history effects. 2. Here, we test the independent and combined roles of supplementation of carotenoids and vitamin E during early growth in regulating the expression of traits in adulthood, in ring-necked pheasants, Phasianus colchicus. Individuals supplemented with a combination of carotenoids and vitamin E were larger at adulthood than individuals receiving other treatment diets (including vitamin E or carotenoids alone), but there were no differences in ornament expression, immune function, the swelling response to phytohaemagglutinin or levels of oxidative damage. 3. This shows that there are synergistic early life-history effects of these dietary antioxidants on body size at adulthood and suggest that the allocation of limited antioxidant resources are prioritized towards traits that increase competitive ability rather than sexual attractiveness in this strongly sexually selected species.",6,2012,26,1,254,264,10.1111/j.1365-2435.2011.01932.x
"Rutherford, MC; Powrie, LW; Husted, LB",Plant diversity consequences of a herbivore-driven biome switch from Grassland to Nama-Karoo shrub steppe in South Africa,APPLIED VEGETATION SCIENCE,Article,Cover; Degradation; Disturbance; Encroachment; Grazing; Local extinction; Soils; Species evenness; Species richness; Traits,"Questions: How does heavy grazing change plant community structure, composition and species richness and diversity in an ecotone between grassland and semi-arid shrub steppe-type vegetation? Does grazing favour plants with arid affinity over those with less arid affinity? Does the grazing-induced transformation constitute a switch to the equivalent of a shrub-dominated biome? Location: Central South Africa. Methods: Using systematic scanning of SPOT 5 imagery and ground-truthing, a grazing treatment area was selected that met criteria of intensity of grazing, sampling requirements, and biogeographical position within a broad ecotonal zone. Differential vegetation responses to heavy grazing were tested for significant differences in plant traits, vegetation structure, and species diversity, richness and evenness. Gamma diversity was calculated for the whole study site, whereas, independent beta diversity was calculated across the treatments assuming the additive partitioning of diversity. In addition, the biogeographical association of grazing-induced species shifts was determined using a range of available databases. Results: Canopy cover and height of woody shrubs increased significantly with heavy grazing whereas that of graminoid plants declined. The resultant species turnover was modest, apparent extinctions of local species were minimal, species richness was maintained and species diversity was significantly enhanced. There was a significant increase in species evenness, through possible suppression of dominant species. Significant increases in species cover were those associated with mainly the Nama-Karoo biome indicating that species from more arid areas are more resistant to grazing as would be expected by the convergence model of aridity and grazing resistance. Conclusions: The significant increase in shrub cover in heavily grazed semi-arid grassland followed general global expectations. The study confirmed that the supposed former large shift of grassland to shrubby Nama-Karoo in the eastern upper Karoo can indeed be readily affected by heavy grazing. The negative connotations for biodiversity that have often been associated with intense grazing seem, in terms of the positive responses of plant species diversity in this study, to perhaps be exaggerated. The elevated species diversity with grazing of vegetation with a long evolutionary grazing history in a low resource area may require a reappraisal of the application of certain grazing hypotheses.",15,2012,15,1,14,25,10.1111/j.1654-109X.2011.01160.x
"Hagen, M; Kissling, WD; Rasmussen, C; De Aguiar, MAM; Brown, LE; Carstensen, DW; Alves-Dos-Santos, I; Dupont, YL; Edwards, FK; Genini, J; Guimaraes, PR; Jenkins, GB; Jordano, P; Kaiser-Bunbury, CN; Ledger, ME; Maia, KP; Marquitti, FMD; Mclaughlin, O; Morellato, LPC; O'Gorman, EJ; Trojelsgaard, K; Tylianakis, JM; Vidal, MM; Woodward, G; Olesen, JM","Biodiversity, Species Interactions and Ecological Networks in a Fragmented World","ADVANCES IN ECOLOGICAL RESEARCH, VOL 46: GLOBAL CHANGE IN MULTISPECIES SYSTEMS, PT 1",Review; Book Chapter,,"Biodiversity is organised into complex ecological networks of interacting species in local ecosystems, but our knowledge about the effects of habitat fragmentation on such systems remains limited. We consider the effects of this key driver of both local and global change on both mutualistic and antagonistic systems at different levels of biological organisation and spatiotemporal scales. There is a complex interplay of patterns and processes related to the variation and influence of spatial, temporal and biotic drivers in ecological networks. Species traits (e.g. body size, dispersal ability) play an important role in determining how networks respond to fragment size and isolation, edge shape and permeability, and the quality of the surrounding landscape matrix. Furthermore, the perception of spatial scale (e.g. environmental grain) and temporal effects (time lags, extinction debts) can differ markedly among species, network modules and trophic levels, highlighting the need to develop a more integrated perspective that considers not just nodes, but the structural role and strength of species interactions (e.g. as hubs, spatial couplers and determinants of connectance, nestedness and modularity) in response to habitat fragmentation. Many challenges remain for improving our understanding: the likely importance of specialisation, functional redundancy and trait matching has been largely overlooked. The potentially critical effects of apex consumers, abundant species and supergeneralists on network changes and evolutionary dynamics also need to be addressed in future research. Ultimately, spatial and ecological networks need to be combined to explore the effects of dispersal, colonisation, extinction and habitat fragmentation on network structure and coevolutionary dynamics. Finally, we need to embed network approaches more explicitly within applied ecology in general, because they offer great potential for improving on the current species-based or habitat-centric approaches to our management and conservation of biodiversity in the face of environmental change.",57,2012,46,,89,210,10.1016/B978-0-12-396992-7.00002-2
"Hallsson, LR; Bjorklund, M",Sex-specific genetic variances in life-history and morphological traits of the seed beetle Callosobruchus maculatus,ECOLOGY AND EVOLUTION,Article,Additive genetic variance; breeding design; genetic correlation; sexual dimorphism; sex-specific genetic effect,"Knowledge of heritability and genetic correlations are of central importance in the study of adaptive trait evolution and genetic constraints. We use a paternal half-sib-full-sib breeding design to investigate the genetic architecture of three life-history and morphological traits in the seed beetle, Callosobruchus maculatus. Heritability was significant for all traits under observation and genetic correlations between traits (r(A)) were low. Interestingly, we found substantial sex-specific genetic effects and low genetic correlations between sexes (r(MF)) in traits that are only moderately (weight at emergence) to slightly (longevity) sexually dimorphic. Furthermore, we found an increased sire (s(sire)(2)) compared to dam(s(dam)(2)) variance component within trait and sex. Our results highlight that the genetic architecture even of the same trait should not be assumed to be the same for males and females. Furthermore, it raises the issue of the presence of unnoticed environmental effects that may inflate estimates of heritability. Overall, our study stresses the fact that estimates of quantitative genetic parameters are not only population, time, environment, but also sex specific. Thus, extrapolation between sexes and studies should be treated with caution.",5,2012,2,1,128,138,10.1002/ece3.56
